,ensemble_name,0
batch_test_acc-mean,full-ensemble,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0078, 0.0078, 0.0, 0.0, 0.0, 0.0, 0.0078, 0.0, 0.0, 0.0039, 0.0039, 0.0, 0.0, 0.0, 0.0078, 0.0, 0.957, 0.9492, 0.9531, 0.9375, 0.9453, 0.9492, 0.9297, 0.9727, 0.9414, 0.9453, 0.9609, 0.9453, 0.9258, 0.9492, 0.9531, 0.9841]"
batch_test_acc-std,full-ensemble,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0078, 0.0078, 0.0, 0.0, 0.0, 0.0, 0.0078, 0.0, 0.0, 0.0039, 0.0039, 0.0, 0.0, 0.0, 0.0078, 0.0, 0.0039, 0.0352, 0.0078, 0.0234, 0.0078, 0.0117, 0.0156, 0.0195, 0.0273, 0.0078, 0.0, 0.0078, 0.0273, 0.0039, 0.0078, 0.0]"
batch_train_acc-mean,full-ensemble,"[0.8828, 0.9766, 0.9844, 0.9844, 0.9844, 0.9922, 0.9883, 1.0, 0.9961, 0.9922, 0.9922, 1.0, 0.9922, 0.9844, 1.0, 1.0, 0.9922, 0.9922, 0.9883, 1.0, 0.9883, 1.0, 0.9883, 0.9922, 1.0, 1.0, 0.9961, 0.9805, 0.9961, 0.9922, 0.9961, 0.9961, 0.9961, 1.0, 1.0, 0.9961, 0.9922, 0.9922, 0.9961, 0.9922, 0.9922, 0.9961, 1.0, 0.9961, 1.0, 0.9922, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9961, 1.0, 0.9961, 0.9961, 0.9883, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9961, 0.9961, 1.0, 0.9961, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9922, 0.9961, 0.9961, 1.0, 1.0, 1.0, 1.0, 0.9922, 0.9961, 1.0, 0.9922, 0.9961, 1.0, 0.9961, 1.0, 0.9922, 0.9961, 1.0, 0.9961, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9961, 0.9917, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0625, 0.293, 0.5781, 0.6367, 0.7109, 0.7148, 0.75, 0.7227, 0.8203, 0.8633, 0.9141, 0.918, 0.9023, 0.8711, 0.8984, 0.9258, 0.9141, 0.9375, 0.9258, 0.9102, 0.9219, 0.9258, 0.9336, 0.9531, 0.9531, 0.9492, 0.9492, 0.9219, 0.9102, 0.9336, 0.8984, 0.9297, 0.957, 0.9453, 0.9648, 0.9531, 0.9453, 0.9453, 0.9375, 0.957, 0.9531, 0.9609, 0.9805, 0.9453, 0.9609, 0.9492, 0.9258, 0.9531, 0.9648, 0.957, 0.9688, 0.957, 0.9727, 0.9727, 0.9453, 0.9844, 0.9688, 0.957, 0.9609, 0.9414, 0.9688, 0.9688, 0.9688, 0.9648, 0.957, 0.9727, 0.9766, 0.9688, 0.9492, 0.9648, 0.9766, 0.9766, 0.9688, 0.9766, 0.9531, 0.9492, 0.9648, 0.9609, 0.9609, 0.9531, 0.9766, 0.9688, 0.9531, 0.9492, 0.957, 0.9805, 0.9737, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0703, 0.1719, 0.3203, 0.5156, 0.6914, 0.7969, 0.7812, 0.8477, 0.8711, 0.8672, 0.8203, 0.8008, 0.8203, 0.8242, 0.8477, 0.9141, 0.9336, 0.918, 0.9414, 0.9766, 0.9453, 0.9453, 0.9531, 0.9648, 0.9375, 0.9531, 0.9492, 0.9727, 0.9688, 0.9258, 0.9766, 0.9609, 0.957, 0.957, 0.9766, 0.9609, 0.9648, 0.9648, 0.9727, 0.9688, 0.9844, 0.9609, 0.9648, 0.9883, 0.9883, 0.9727, 0.9727, 0.957, 0.9492, 0.9648, 0.9688, 0.9844, 0.9922, 0.9648, 0.9844, 0.9766, 0.9844, 0.9883, 0.9844, 0.9609, 0.9883, 0.9844, 0.9688, 0.9766, 0.9844, 0.9844, 0.9648, 0.9766, 0.9805, 0.9883, 0.9883, 1.0, 0.9805, 0.9805, 0.9844, 0.9882, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0039, 0.0508, 0.1055, 0.3398, 0.4258, 0.5117, 0.5273, 0.5742, 0.6719, 0.7109, 0.6992, 0.7188, 0.7773, 0.7578, 0.8242, 0.8086, 0.8633, 0.8828, 0.8711, 0.8672, 0.8984, 0.8594, 0.8398, 0.832, 0.8672, 0.9141, 0.8984, 0.8633, 0.8945, 0.8867, 0.9258, 0.957, 0.9531, 0.9727, 0.9844, 0.9883, 0.9961, 0.9844, 0.9961, 0.9883, 0.9922, 0.9961, 0.9844, 0.9844, 0.9883, 0.9883, 0.9883, 0.9883, 0.9883, 1.0, 0.9805, 0.9922, 0.9961, 1.0, 0.9883, 0.9922, 0.9961, 0.9922, 0.9961, 0.9922, 0.9922, 0.9961, 0.9961, 0.9922, 0.9844, 1.0, 0.9922, 0.9961, 0.9922, 1.0, 1.0, 1.0, 0.9922, 1.0, 0.9961, 0.9883, 1.0, 1.0, 0.9922, 1.0, 0.9922, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0156, 0.0781, 0.2148, 0.2773, 0.293, 0.3047, 0.3125, 0.3164, 0.4453, 0.4922, 0.5742, 0.5352, 0.625, 0.6523, 0.6758, 0.6484, 0.6953, 0.6797, 0.7344, 0.7227, 0.7109, 0.7148, 0.7773, 0.793, 0.8594, 0.7773, 0.7578, 0.7891, 0.7578, 0.7695, 0.7148, 0.7773, 0.8047, 0.8164, 0.7969, 0.8984, 0.8867, 0.8945, 0.8945, 0.8984, 0.9062, 0.9023, 0.9219, 0.918, 0.9336, 0.9375, 0.9336, 0.9414, 0.957, 0.9336, 0.9336, 0.9688, 0.9805, 0.9141, 0.9141, 0.9258, 0.9258, 0.9297, 0.9531, 0.9023, 0.9258, 0.9375, 0.957, 0.9492, 0.9648, 0.957, 0.9609, 0.9492, 0.9414, 0.9375, 0.9375, 0.9531, 0.9492, 0.9531, 0.9375]"
batch_train_acc-std,full-ensemble,"[0.0625, 0.0234, 0.0078, 0.0156, 0.0078, 0.0078, 0.0039, 0.0, 0.0039, 0.0078, 0.0, 0.0, 0.0078, 0.0078, 0.0, 0.0, 0.0078, 0.0, 0.0039, 0.0, 0.0039, 0.0, 0.0039, 0.0078, 0.0, 0.0, 0.0039, 0.0039, 0.0039, 0.0078, 0.0039, 0.0039, 0.0039, 0.0, 0.0, 0.0039, 0.0, 0.0078, 0.0039, 0.0078, 0.0078, 0.0039, 0.0, 0.0039, 0.0, 0.0078, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0039, 0.0, 0.0039, 0.0039, 0.0117, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0039, 0.0039, 0.0, 0.0039, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0078, 0.0039, 0.0039, 0.0, 0.0, 0.0, 0.0, 0.0078, 0.0039, 0.0, 0.0078, 0.0039, 0.0, 0.0039, 0.0, 0.0, 0.0039, 0.0, 0.0039, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0039, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0547, 0.0039, 0.0781, 0.1836, 0.1797, 0.2227, 0.1953, 0.1914, 0.1172, 0.0195, 0.0156, 0.0117, 0.0273, 0.043, 0.0312, 0.0117, 0.0156, 0.0078, 0.0039, 0.0039, 0.0234, 0.0273, 0.0039, 0.0156, 0.0078, 0.0039, 0.0039, 0.0234, 0.0039, 0.0195, 0.0156, 0.0078, 0.0039, 0.0078, 0.0039, 0.0156, 0.0078, 0.0078, 0.0078, 0.0039, 0.0156, 0.0, 0.0117, 0.0078, 0.0156, 0.0039, 0.0039, 0.0078, 0.0117, 0.0117, 0.0078, 0.0117, 0.0039, 0.0117, 0.0078, 0.0, 0.0156, 0.0039, 0.0, 0.0039, 0.0234, 0.0078, 0.0234, 0.0195, 0.0039, 0.0039, 0.0156, 0.0156, 0.0117, 0.0195, 0.0, 0.0, 0.0, 0.0078, 0.0078, 0.0195, 0.0039, 0.0078, 0.0078, 0.0, 0.0078, 0.0078, 0.0078, 0.0039, 0.0039, 0.0039, 0.0088, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0703, 0.1719, 0.2109, 0.1406, 0.0195, 0.0469, 0.0781, 0.0898, 0.082, 0.0938, 0.1016, 0.0742, 0.0703, 0.043, 0.0195, 0.0078, 0.0195, 0.0039, 0.0117, 0.0078, 0.0, 0.0078, 0.0156, 0.0117, 0.0078, 0.0, 0.0352, 0.0117, 0.0, 0.0039, 0.0078, 0.0156, 0.0195, 0.0273, 0.0078, 0.0, 0.0195, 0.0117, 0.0117, 0.0, 0.0156, 0.0156, 0.0039, 0.0117, 0.0039, 0.0039, 0.0039, 0.0117, 0.0039, 0.0039, 0.0156, 0.0078, 0.0, 0.0039, 0.0078, 0.0078, 0.0, 0.0039, 0.0078, 0.0078, 0.0039, 0.0078, 0.0, 0.0156, 0.0, 0.0078, 0.0195, 0.0, 0.0039, 0.0039, 0.0117, 0.0, 0.0117, 0.0039, 0.0078, 0.0118, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0039, 0.0508, 0.1055, 0.1602, 0.0508, 0.0508, 0.0273, 0.082, 0.0859, 0.1172, 0.1914, 0.1562, 0.1133, 0.0938, 0.1133, 0.0664, 0.0117, 0.0, 0.0508, 0.1016, 0.0938, 0.1328, 0.1523, 0.1445, 0.1328, 0.0781, 0.0859, 0.1211, 0.0352, 0.082, 0.0352, 0.0117, 0.0234, 0.0195, 0.0078, 0.0039, 0.0039, 0.0, 0.0039, 0.0039, 0.0078, 0.0039, 0.0078, 0.0, 0.0039, 0.0039, 0.0117, 0.0039, 0.0039, 0.0, 0.0117, 0.0, 0.0039, 0.0, 0.0039, 0.0078, 0.0039, 0.0078, 0.0039, 0.0, 0.0, 0.0039, 0.0039, 0.0078, 0.0078, 0.0, 0.0, 0.0039, 0.0, 0.0, 0.0, 0.0, 0.0078, 0.0, 0.0039, 0.0039, 0.0, 0.0, 0.0078, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0156, 0.0781, 0.2148, 0.2617, 0.2852, 0.3047, 0.2969, 0.2539, 0.1719, 0.1484, 0.0898, 0.0977, 0.1328, 0.207, 0.1992, 0.1641, 0.1719, 0.2422, 0.2109, 0.2305, 0.2344, 0.207, 0.1289, 0.0742, 0.0469, 0.0898, 0.1406, 0.1406, 0.1875, 0.1836, 0.2305, 0.1758, 0.0859, 0.1367, 0.1094, 0.0547, 0.043, 0.0352, 0.0508, 0.0625, 0.0781, 0.043, 0.0312, 0.0195, 0.0195, 0.0391, 0.0352, 0.0195, 0.0117, 0.0352, 0.0195, 0.0156, 0.0195, 0.0391, 0.0625, 0.0352, 0.0195, 0.0469, 0.0234, 0.0586, 0.0508, 0.0234, 0.0117, 0.0195, 0.0117, 0.0195, 0.0078, 0.0039, 0.0273, 0.0312, 0.0156, 0.0078, 0.0117, 0.0078, 0.0208]"
batch_test_acc-mean,random_better-accuracy_score,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3945, 0.3438, 0.3516, 0.3633, 0.3281, 0.4102, 0.375, 0.4453, 0.3984, 0.3984, 0.3672, 0.4258, 0.3633, 0.4062, 0.375, 0.3864, 0.9492, 0.9453, 0.9492, 0.9688, 0.9336, 0.9258, 0.9219, 0.9453, 0.9141, 0.9375, 0.9336, 0.9492, 0.9336, 0.9258, 0.9531, 0.9683]"
batch_test_acc-std,random_better-accuracy_score,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1367, 0.0859, 0.1016, 0.1523, 0.1016, 0.043, 0.1562, 0.125, 0.0938, 0.1641, 0.1484, 0.0977, 0.0977, 0.1172, 0.1016, 0.0682, 0.0273, 0.0078, 0.0039, 0.0078, 0.0039, 0.0352, 0.0234, 0.0078, 0.0078, 0.0, 0.0117, 0.0117, 0.0039, 0.0117, 0.0, 0.0159]"
batch_train_acc-mean,random_better-accuracy_score,"[0.9062, 0.9844, 0.9922, 0.9961, 0.9922, 0.9805, 1.0, 1.0, 0.9961, 0.9922, 0.9883, 1.0, 0.9922, 0.9844, 1.0, 1.0, 0.9922, 0.9922, 0.9883, 1.0, 0.9922, 1.0, 0.9844, 0.9922, 0.9961, 1.0, 0.9961, 0.9805, 1.0, 0.9961, 0.9961, 0.9922, 0.9961, 1.0, 1.0, 0.9961, 0.9922, 0.9922, 0.9961, 0.9922, 0.9922, 1.0, 1.0, 0.9961, 1.0, 0.9922, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9961, 1.0, 0.9961, 0.9961, 0.9883, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9961, 0.9961, 1.0, 0.9961, 1.0, 1.0, 1.0, 0.9961, 0.9961, 0.9922, 0.9961, 0.9961, 1.0, 1.0, 1.0, 1.0, 0.9922, 0.9961, 1.0, 0.9922, 0.9961, 1.0, 0.9961, 1.0, 0.9922, 0.9961, 1.0, 0.9961, 1.0, 1.0, 0.9961, 1.0, 1.0, 1.0, 0.9961, 0.9959, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0859, 0.3281, 0.5664, 0.5469, 0.707, 0.457, 0.5391, 0.793, 0.8711, 0.9492, 0.9492, 0.8906, 0.9062, 0.918, 0.9336, 0.9062, 0.9375, 0.9258, 0.9375, 0.8867, 0.9336, 0.9336, 0.9492, 0.9375, 0.9414, 0.9141, 0.9258, 0.9141, 0.9375, 0.8945, 0.9375, 0.9531, 0.9414, 0.9648, 0.9297, 0.9453, 0.9414, 0.9375, 0.9531, 0.9609, 0.9688, 0.9805, 0.9453, 0.9648, 0.9492, 0.9258, 0.9492, 0.9688, 0.9453, 0.9648, 0.9531, 0.9727, 0.9688, 0.9492, 0.9844, 0.9648, 0.9531, 0.9648, 0.9531, 0.9648, 0.9688, 0.9727, 0.9609, 0.957, 0.9688, 0.9688, 0.9727, 0.9492, 0.9648, 0.9766, 0.9727, 0.9688, 0.9727, 0.9531, 0.9492, 0.9648, 0.9648, 0.9609, 0.9531, 0.9805, 0.9648, 0.9453, 0.9531, 0.957, 0.9727, 0.9737, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1172, 0.0977, 0.3047, 0.4805, 0.3477, 0.6523, 0.8555, 0.7539, 0.8867, 0.8594, 0.7148, 0.8398, 0.8945, 0.8789, 0.8945, 0.8789, 0.7812, 0.8906, 0.7969, 0.8438, 0.9609, 0.9414, 0.9531, 0.9727, 0.9492, 0.9492, 0.9609, 0.9688, 0.9609, 0.9609, 0.9609, 0.9844, 0.9414, 0.9336, 0.9805, 0.9609, 0.9609, 0.9688, 0.9766, 0.9766, 0.9688, 0.9648, 0.9766, 0.9805, 0.9766, 0.9727, 0.9609, 0.9961, 0.9883, 0.9727, 0.9727, 0.9648, 0.9648, 0.9727, 0.9727, 0.9844, 0.9883, 0.957, 0.9805, 0.9727, 0.9883, 0.9844, 0.9883, 0.9609, 0.9805, 0.9766, 0.9766, 0.9688, 0.9844, 0.9844, 0.9648, 0.9805, 0.9805, 0.9883, 0.9883, 1.0, 0.9844, 0.9883, 0.9844, 0.9921, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2148, 0.3242, 0.2969, 0.5391, 0.6992, 0.7773, 0.8086, 0.8438, 0.7969, 0.9336, 0.7812, 0.7812, 0.8359, 0.8203, 0.9102, 0.7969, 0.7461, 0.8281, 0.9062, 0.8906, 0.9453, 0.9492, 0.9844, 0.9648, 0.9609, 0.9766, 0.9844, 0.9844, 0.9922, 0.9688, 0.9922, 0.9609, 0.9883, 0.9805, 0.9922, 1.0, 0.9922, 0.9961, 0.9961, 0.9883, 0.9961, 0.9961, 0.9961, 1.0, 0.9922, 0.9961, 0.9961, 0.9883, 0.9961, 0.9883, 1.0, 0.9883, 0.9961, 0.9961, 1.0, 0.9961, 0.9961, 0.9922, 1.0, 0.9961, 0.9961, 0.9883, 0.9961, 0.9922, 0.9961, 0.9883, 1.0, 0.9922, 0.9961, 0.9922, 1.0, 1.0, 0.9961, 0.9961, 1.0, 0.9961, 0.9844, 0.9961, 1.0, 0.9961, 1.0, 0.9883, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0078, 0.0078, 0.0703, 0.2578, 0.4648, 0.6133, 0.5859, 0.5586, 0.5508, 0.6172, 0.6133, 0.6172, 0.6523, 0.5234, 0.6367, 0.6758, 0.5078, 0.7031, 0.6562, 0.6211, 0.6211, 0.6289, 0.7148, 0.582, 0.668, 0.6719, 0.6953, 0.7031, 0.7031, 0.6953, 0.7031, 0.7422, 0.4922, 0.7383, 0.6758, 0.707, 0.7383, 0.7461, 0.7695, 0.7266, 0.7383, 0.7227, 0.7305, 0.7148, 0.75, 0.7266, 0.707, 0.7109, 0.7695, 0.8008, 0.8672, 0.8398, 0.9219, 0.8984, 0.8984, 0.9062, 0.9023, 0.8867, 0.8477, 0.7617, 0.8203, 0.7031, 0.7148, 0.9375, 0.5, 0.8477, 0.7617, 0.6797, 0.4844, 0.4727, 0.957, 0.9453, 0.9453, 0.9219, 0.9414, 0.8438, 0.957, 0.9375, 0.9167]"
batch_train_acc-std,random_better-accuracy_score,"[0.0312, 0.0078, 0.0078, 0.0039, 0.0, 0.0117, 0.0, 0.0, 0.0039, 0.0078, 0.0039, 0.0, 0.0078, 0.0078, 0.0, 0.0, 0.0078, 0.0, 0.0039, 0.0, 0.0078, 0.0, 0.0078, 0.0078, 0.0039, 0.0, 0.0039, 0.0039, 0.0, 0.0039, 0.0039, 0.0, 0.0039, 0.0, 0.0, 0.0039, 0.0, 0.0078, 0.0039, 0.0078, 0.0078, 0.0, 0.0, 0.0039, 0.0, 0.0078, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0039, 0.0, 0.0039, 0.0039, 0.0117, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0039, 0.0039, 0.0, 0.0039, 0.0, 0.0, 0.0, 0.0039, 0.0039, 0.0078, 0.0039, 0.0039, 0.0, 0.0, 0.0, 0.0, 0.0078, 0.0039, 0.0, 0.0078, 0.0039, 0.0, 0.0039, 0.0, 0.0, 0.0039, 0.0, 0.0039, 0.0, 0.0, 0.0039, 0.0, 0.0, 0.0, 0.0039, 0.0041, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0859, 0.3203, 0.1758, 0.3047, 0.1914, 0.418, 0.3594, 0.0977, 0.043, 0.0117, 0.0117, 0.0156, 0.0, 0.043, 0.0117, 0.0547, 0.0078, 0.0195, 0.0078, 0.0039, 0.0039, 0.0039, 0.0039, 0.0156, 0.0117, 0.0234, 0.0195, 0.0, 0.0156, 0.0273, 0.0234, 0.0078, 0.0039, 0.0039, 0.0312, 0.0078, 0.0195, 0.0, 0.0156, 0.0234, 0.0, 0.0117, 0.0078, 0.0039, 0.0117, 0.0117, 0.0039, 0.0078, 0.0078, 0.0117, 0.0078, 0.0039, 0.0078, 0.0039, 0.0, 0.0117, 0.0156, 0.0039, 0.0, 0.0195, 0.0078, 0.0195, 0.0156, 0.0117, 0.0, 0.0, 0.0117, 0.0117, 0.0195, 0.0078, 0.0039, 0.0, 0.0117, 0.0078, 0.0195, 0.0039, 0.0117, 0.0078, 0.0, 0.0039, 0.0039, 0.0078, 0.0, 0.0117, 0.0117, 0.0088, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1172, 0.0977, 0.0781, 0.0742, 0.3477, 0.1758, 0.0039, 0.0273, 0.0352, 0.0078, 0.0977, 0.0977, 0.0273, 0.0273, 0.0195, 0.0117, 0.1719, 0.0547, 0.1719, 0.0938, 0.0078, 0.0352, 0.0156, 0.0039, 0.0039, 0.0117, 0.0156, 0.0156, 0.0078, 0.0078, 0.0312, 0.0078, 0.0273, 0.0039, 0.0039, 0.0078, 0.0312, 0.0234, 0.0078, 0.0078, 0.0156, 0.0195, 0.0156, 0.0039, 0.0156, 0.0039, 0.0, 0.0039, 0.0039, 0.0039, 0.0039, 0.0195, 0.0039, 0.0039, 0.0117, 0.0, 0.0039, 0.0039, 0.0039, 0.0039, 0.0039, 0.0078, 0.0039, 0.0078, 0.0117, 0.0, 0.0078, 0.0078, 0.0, 0.0078, 0.0195, 0.0039, 0.0117, 0.0039, 0.0117, 0.0, 0.0156, 0.0039, 0.0078, 0.0079, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2148, 0.3086, 0.2969, 0.2969, 0.2148, 0.1758, 0.1133, 0.1016, 0.1484, 0.0352, 0.1641, 0.1875, 0.1172, 0.1172, 0.0352, 0.1719, 0.1445, 0.1016, 0.0625, 0.0547, 0.0078, 0.0273, 0.0, 0.0117, 0.0, 0.0156, 0.0078, 0.0078, 0.0078, 0.0078, 0.0, 0.0234, 0.0039, 0.0117, 0.0078, 0.0, 0.0, 0.0039, 0.0039, 0.0039, 0.0039, 0.0039, 0.0039, 0.0, 0.0078, 0.0039, 0.0039, 0.0039, 0.0039, 0.0039, 0.0, 0.0117, 0.0039, 0.0039, 0.0, 0.0039, 0.0039, 0.0078, 0.0, 0.0039, 0.0039, 0.0117, 0.0039, 0.0078, 0.0039, 0.0039, 0.0, 0.0, 0.0039, 0.0, 0.0, 0.0, 0.0039, 0.0039, 0.0, 0.0039, 0.0078, 0.0039, 0.0, 0.0039, 0.0, 0.0039, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0078, 0.0078, 0.0625, 0.0938, 0.0586, 0.0742, 0.0625, 0.043, 0.1055, 0.0781, 0.1133, 0.0703, 0.1367, 0.0547, 0.1445, 0.168, 0.0078, 0.1641, 0.0312, 0.1445, 0.168, 0.1289, 0.1367, 0.0508, 0.168, 0.1719, 0.1719, 0.2422, 0.2188, 0.2188, 0.1484, 0.1328, 0.0547, 0.2305, 0.2539, 0.1758, 0.1914, 0.207, 0.1367, 0.1953, 0.207, 0.2227, 0.2383, 0.2227, 0.2109, 0.1797, 0.2305, 0.2344, 0.168, 0.1367, 0.0625, 0.1211, 0.0391, 0.0078, 0.0469, 0.0781, 0.0508, 0.0742, 0.1133, 0.1914, 0.1328, 0.2734, 0.2461, 0.0078, 0.4531, 0.0977, 0.1992, 0.2812, 0.4844, 0.4727, 0.0117, 0.0, 0.0234, 0.0234, 0.0039, 0.1172, 0.0117, 0.0078, 0.0417]"
batch_test_acc-mean,random_better-balanced_accuracy_score,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2422, 0.1562, 0.2227, 0.2188, 0.1953, 0.2344, 0.2344, 0.2695, 0.2305, 0.207, 0.1992, 0.25, 0.1992, 0.1914, 0.2227, 0.2273, 0.9688, 0.9492, 0.9531, 0.957, 0.9297, 0.918, 0.918, 0.9453, 0.918, 0.9531, 0.9414, 0.9375, 0.9531, 0.9336, 0.9492, 0.9762]"
batch_test_acc-std,random_better-balanced_accuracy_score,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0547, 0.0156, 0.0195, 0.0312, 0.0391, 0.0312, 0.0703, 0.0195, 0.0039, 0.1055, 0.0352, 0.0312, 0.0195, 0.0352, 0.0273, 0.0152, 0.0078, 0.0117, 0.0078, 0.0039, 0.0156, 0.0352, 0.0117, 0.0156, 0.0117, 0.0, 0.0039, 0.0, 0.0078, 0.0117, 0.0117, 0.0238]"
