,ensemble_name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399,400,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415,416,417,418,419,420,421,422,423,424,425,426,427,428,429,430,431,432,433,434,435,436,437,438,439,440,441,442,443,444,445,446,447,448,449,450,451,452,453,454,455,456,457,458,459,460,461,462,463,464,465,466,467,468
batch_test_acc-mean,full-ensemble,0.19270833333333334,0.15104166666666666,0.1953125,0.2421875,0.15625,0.1484375,0.20833333333333334,0.21614583333333334,0.14583333333333334,0.203125,0.1640625,0.1875,0.1796875,0.2578125,0.1328125,0.203125,0.20833333333333334,0.234375,0.20052083333333334,0.20052083333333334,0.2265625,0.1875,0.20052083333333334,0.2421875,0.1875,0.20052083333333334,0.1796875,0.171875,0.16666666666666666,0.1484375,0.265625,0.203125,0.22916666666666666,0.1796875,0.171875,0.1953125,0.14583333333333334,0.1875,0.16927083333333334,0.2265625,0.1796875,0.1875,0.1875,0.17708333333333334,0.1953125,0.1875,0.1640625,0.1796875,0.15364583333333334,0.15625,0.171875,0.1953125,0.15885416666666666,0.234375,0.125,0.109375,0.2265625,0.2109375,0.1953125,0.1484375,0.23177083333333334,0.1953125,0.1484375,0.171875,0.1875,0.21614583333333334,0.18489583333333334,0.1875,0.19791666666666666,0.09375,0.23958333333333334,0.15625,0.234375,0.16927083333333334,0.234375,0.2578125,0.2421875,0.13541666666666666,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
batch_test_acc-std,full-ensemble,0.003682847818679935,0.003682847818679935,0.0,0.0,0.0,0.0,0.003682847818679935,0.003682847818679935,0.003682847818679935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003682847818679935,0.0,0.003682847818679935,0.003682847818679935,0.0,0.0,0.003682847818679935,0.0,0.0,0.003682847818679935,0.0,0.0,0.003682847818679935,0.0,0.0,0.0,0.00736569563735987,0.0,0.0,0.0,0.003682847818679935,0.0,0.003682847818679935,0.0,0.0,0.0,0.0,0.003682847818679935,0.0,0.0,0.0,0.0,0.003682847818679935,0.0,0.0,0.0,0.003682847818679935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003682847818679935,0.0,0.0,0.0,0.0,0.003682847818679935,0.003682847818679935,0.0,0.003682847818679935,0.0,0.003682847818679935,0.0,0.0,0.003682847818679935,0.0,0.0,0.0,0.003682847818679935,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
batch_train_acc-mean,full-ensemble,0.9401041666666666,0.9322916666666666,0.9322916666666666,0.9583333333333334,0.96875,0.9817708333333334,0.9765625,0.9921875,1.0,0.9869791666666666,1.0,0.9921875,0.984375,0.984375,0.984375,1.0,0.9765625,1.0,0.9921875,0.984375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.984375,1.0,0.9973958333333334,1.0,1.0,0.9921875,1.0,0.9921875,1.0,0.9921875,1.0,1.0,0.9973958333333334,1.0,1.0,0.9895833333333334,0.9765625,0.9921875,1.0,0.9921875,1.0,1.0,0.984375,1.0,1.0,1.0,1.0,1.0,1.0,0.9921875,1.0,1.0,1.0,0.9921875,1.0,1.0,1.0,0.984375,1.0,1.0,0.9921875,1.0,1.0,1.0,1.0,1.0,1.0,0.9921875,0.9921875,1.0,0.9921875,1.0,1.0,0.9869791666666666,1.0,1.0,1.0,1.0,0.9921875,0.9921875,1.0,0.9921875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,0.0,0.0,0.0,0.0,0.015625,0.5651041666666666,0.8151041666666666,0.7838541666666666,0.8229166666666666,0.8984375,0.8932291666666666,0.9010416666666666,0.84375,0.8984375,0.8854166666666666,0.8958333333333334,0.9010416666666666,0.9453125,0.9296875,0.9322916666666666,0.921875,0.9270833333333334,0.9348958333333334,0.8463541666666666,0.9140625,0.8776041666666666,0.9427083333333334,0.9114583333333334,0.9453125,0.953125,0.9583333333333334,0.96875,0.9609375,0.9375,0.953125,0.9583333333333334,0.9583333333333334,0.8984375,0.921875,0.9296875,0.9453125,0.9505208333333334,0.9453125,0.9583333333333334,0.9609375,0.9427083333333334,0.9557291666666666,0.9375,0.9244791666666666,0.9427083333333334,0.9817708333333334,0.9661458333333334,0.9322916666666666,0.9453125,0.9427083333333334,0.984375,0.9739583333333334,0.953125,0.9765625,0.9765625,0.9296875,0.9453125,0.9453125,0.984375,0.9791666666666666,0.9453125,0.9713541666666666,0.9765625,0.9609375,0.96875,0.953125,0.9401041666666666,0.9921875,0.9765625,0.9609375,0.9609375,0.9765625,0.9921875,0.9609375,0.9453125,0.9739583333333334,0.9557291666666666,0.96875,0.9140625,0.96875,0.9661458333333334,0.953125,0.953125,0.953125,0.9296875,0.9817708333333334,0.96875,0.921875,0.9296875,0.3671875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.484375,0.5364583333333334,0.5182291666666666,0.5520833333333334,0.6171875,0.6796875,0.6328125,0.6145833333333334,0.6015625,0.5807291666666666,0.5494791666666666,0.5286458333333334,0.6432291666666666,0.7734375,0.8125,0.7838541666666666,0.7630208333333334,0.8802083333333334,0.9479166666666666,0.8385416666666666,0.7421875,0.7265625,0.7369791666666666,0.7109375,0.8072916666666666,0.8880208333333334,0.953125,0.9296875,0.9479166666666666,0.9479166666666666,0.9609375,0.9453125,0.9166666666666666,0.96875,0.953125,0.9479166666666666,0.953125,0.9296875,0.9375,0.9348958333333334,0.9427083333333334,0.96875,0.9114583333333334,0.9375,0.9661458333333334,0.96875,0.9765625,0.953125,0.96875,0.9375,0.9609375,0.9375,0.953125,0.96875,0.9583333333333334,0.9427083333333334,0.9817708333333334,0.9635416666666666,0.9375,0.9244791666666666,0.9296875,0.9583333333333334,0.984375,0.96875,0.953125,0.9635416666666666,0.9661458333333334,0.96875,0.9635416666666666,0.9583333333333334,0.9765625,0.9557291666666666,0.9765625,0.984375,0.96875,0.9661458333333334,0.9401041666666666,0.3828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09114583333333333,0.2994791666666667,0.453125,0.5286458333333334,0.53125,0.5442708333333334,0.5963541666666666,0.6223958333333334,0.625,0.6484375,0.6458333333333334,0.6666666666666666,0.6979166666666666,0.8776041666666666,0.9114583333333334,0.9505208333333334,0.9166666666666666,0.9036458333333334,0.9140625,0.8880208333333334,0.9010416666666666,0.9140625,0.9322916666666666,0.9401041666666666,0.9479166666666666,0.9166666666666666,0.890625,0.9375,0.9270833333333334,0.9192708333333334,0.9140625,0.9479166666666666,0.9583333333333334,0.96875,0.9869791666666666,0.9791666666666666,0.9661458333333334,0.9713541666666666,0.9765625,0.9739583333333334,0.9869791666666666,0.9817708333333334,0.9791666666666666,0.9869791666666666,0.9973958333333334,0.9921875,0.9895833333333334,0.9713541666666666,1.0,0.9869791666666666,0.9947916666666666,0.9869791666666666,1.0,0.9973958333333334,1.0,0.9869791666666666,1.0,0.9895833333333334,0.9869791666666666,0.9947916666666666,1.0,0.9921875,0.984375,1.0,1.0,0.9973958333333334,0.9895833333333334,1.0,0.9947916666666666,0.9973958333333334,0.984375,0.9921875,1.0,0.9973958333333334,1.0,1.0,1.0,0.9791666666666666,1.0,0.546875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,0.19270833333333334,0.3880208333333333,0.4557291666666667,0.515625,0.6119791666666666,0.5833333333333334,0.59375,0.6119791666666666,0.6067708333333334,0.6145833333333334,0.6276041666666666,0.703125,0.7213541666666666,0.7864583333333334,0.8255208333333334,0.6692708333333334,0.609375,0.5364583333333334,0.6328125,0.6328125,0.71875,0.7760416666666666,0.9036458333333334,0.8619791666666666,0.84375,0.8619791666666666,0.8802083333333334,0.9192708333333334,0.9036458333333334,0.9192708333333334,0.8385416666666666,0.84375,0.8671875,0.8958333333333334,0.9088541666666666,0.9088541666666666,0.9348958333333334,0.9401041666666666,0.9401041666666666,0.9479166666666666,0.9375,0.9479166666666666,0.9739583333333334,0.9322916666666666,0.8984375,0.9270833333333334,0.9296875,0.9453125,0.9479166666666666,0.953125,0.9192708333333334,0.9348958333333334,0.9505208333333334,0.9192708333333334,0.96875,0.921875,0.9557291666666666,0.96875,0.9375,0.9765625,0.953125,0.9505208333333334,0.9609375,0.9609375,0.9453125,0.9635416666666666,0.9427083333333334,0.9661458333333334,0.9557291666666666,0.9583333333333334,0.9505208333333334,0.9505208333333334,0.9661458333333334,0.9713541666666666,0.9375,0.937500019868215
batch_train_acc-std,full-ensemble,0.05311478659992484,0.03513212907091677,0.024150048165353395,0.02655739329996242,0.011048543456039806,0.003682847818679935,0.00637887953849786,0.0,0.0,0.003682847818679935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003682847818679935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003682847818679935,0.0,0.0,0.003682847818679935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003682847818679935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02209708691207961,0.10370993620697852,0.05717317291692747,0.10980817001202092,0.053496454646286815,0.00637887953849786,0.01327869664998121,0.05717317291692747,0.06750771560841522,0.03375385780420761,0.016053161466065044,0.00736569563735987,0.003682847818679935,0.00637887953849786,0.0,0.00736569563735987,0.00637887953849786,0.009743899444723805,0.00736569563735987,0.003682847818679935,0.00637887953849786,0.003682847818679935,0.003682847818679935,0.009743899444723805,0.00637887953849786,0.0,0.003682847818679935,0.00637887953849786,0.00637887953849786,0.00637887953849786,0.00637887953849786,0.009743899444723805,0.003682847818679935,0.00637887953849786,0.00637887953849786,0.0,0.00637887953849786,0.003682847818679935,0.0,0.003682847818679935,0.0,0.003682847818679935,0.003682847818679935,0.0,0.00736569563735987,0.003682847818679935,0.003682847818679935,0.003682847818679935,0.00736569563735987,0.0,0.003682847818679935,0.0,0.003682847818679935,0.0,0.0,0.0,0.00637887953849786,0.00637887953849786,0.0,0.0,0.003682847818679935,0.0,0.003682847818679935,0.0,0.0,0.0,0.0,0.003682847818679935,0.0,0.0,0.00637887953849786,0.0,0.0,0.0,0.0,0.0,0.003682847818679935,0.003682847818679935,0.0,0.00637887953849786,0.0,0.003682847818679935,0.0,0.0,0.0,0.00637887953849786,0.003682847818679935,0.0,0.00637887953849786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26218151976360876,0.14671422938545078,0.024150048165353395,0.06997410855491877,0.02946278254943948,0.09943689110435824,0.16572815184059708,0.15467960838455727,0.10680258674171812,0.016876928902103804,0.01473139127471974,0.009743899444723805,0.009743899444723805,0.14211212135044013,0.05560978256266308,0.15585888549421878,0.18000801727901514,0.13715827169024677,0.04150358711070111,0.009743899444723805,0.03014540860101621,0.07016767492347646,0.07733980419227864,0.0866056726474786,0.05846339666834283,0.03897559777889522,0.025779934730759544,0.011048543456039806,0.00637887953849786,0.009743899444723805,0.003682847818679935,0.00637887953849786,0.011048543456039806,0.01473139127471974,0.00637887953849786,0.01275775907699572,0.00736569563735987,0.01275775907699572,0.019136638615493577,0.00637887953849786,0.003682847818679935,0.003682847818679935,0.00637887953849786,0.009743899444723805,0.01275775907699572,0.003682847818679935,0.00637887953849786,0.0,0.00637887953849786,0.0,0.0,0.0,0.00637887953849786,0.0,0.00637887953849786,0.003682847818679935,0.00736569563735987,0.003682847818679935,0.003682847818679935,0.00637887953849786,0.009743899444723805,0.0,0.00736569563735987,0.0,0.0,0.00637887953849786,0.009743899444723805,0.009743899444723805,0.0,0.003682847818679935,0.00736569563735987,0.0,0.003682847818679935,0.0,0.0,0.0,0.003682847818679935,0.003682847818679935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12889967365379773,0.2568505834570407,0.1280551130535859,0.06820729611306664,0.05846339666834283,0.08494534599114631,0.14786530798519157,0.1749643440858419,0.17723645340805785,0.21030963655802049,0.21159555276845707,0.20927521461317125,0.1905495638534033,0.1253791991376117,0.09806338741543089,0.04150358711070111,0.049547649975105336,0.06293253111247174,0.0459987545121242,0.08077115843370221,0.07026425814183355,0.05560978256266308,0.03737682316251907,0.03273386742181389,0.02655739329996242,0.051559869461519095,0.07992713152720211,0.07733980419227864,0.0866056726474786,0.09764756905860768,0.10500961017529141,0.05717317291692747,0.04787702164283916,0.03314563036811941,0.018414239093399672,0.02946278254943948,0.009743899444723805,0.01327869664998121,0.0229993772560621,0.02240188871625684,0.003682847818679935,0.003682847818679935,0.003682847818679935,0.009743899444723805,0.003682847818679935,0.011048543456039806,0.003682847818679935,0.00736569563735987,0.0,0.00736569563735987,0.00736569563735987,0.003682847818679935,0.0,0.003682847818679935,0.0,0.00736569563735987,0.0,0.003682847818679935,0.003682847818679935,0.003682847818679935,0.0,0.0,0.0,0.0,0.0,0.003682847818679935,0.003682847818679935,0.0,0.003682847818679935,0.003682847818679935,0.0,0.0,0.0,0.003682847818679935,0.0,0.0,0.0,0.003682847818679935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02946278254943948,0.13760255014190528,0.2748352173601281,0.3015215681777821,0.20885351724753565,0.16638159213503426,0.12602660033919647,0.13395647030845506,0.15366790095762425,0.13641459222613328,0.13232652099908854,0.08494534599114631,0.029231698334171417,0.08707423696510672,0.11273365011413208,0.12075024082676698,0.0822685885361006,0.07733980419227864,0.07924543778491114,0.07967217989988726,0.08292543400047217,0.06659745756533553,0.06389502159575676,0.03146626555623586,0.038450060052691144,0.06750771560841522,0.07610228748022113,0.08938022032151309,0.0592698264413596,0.053496454646286815,0.009743899444723805,0.06820729611306664,0.14918943320210942,0.12709827439492113,0.06515622918331669,0.04247267299557315,0.020505228838572424,0.003682847818679935,0.01473139127471974,0.00736569563735987,0.009743899444723805,0.00637887953849786,0.03210632293213009,0.020505228838572424,0.01327869664998121,0.0229993772560621,0.016053161466065044,0.011048543456039806,0.011048543456039806,0.01327869664998121,0.00637887953849786,0.009743899444723805,0.009743899444723805,0.00736569563735987,0.009743899444723805,0.00637887953849786,0.00637887953849786,0.00736569563735987,0.00637887953849786,0.01275775907699572,0.0,0.00637887953849786,0.003682847818679935,0.0,0.0,0.011048543456039806,0.01473139127471974,0.009743899444723805,0.003682847818679935,0.00736569563735987,0.003682847818679935,0.01473139127471974,0.003682847818679935,0.003682847818679935,0.003682847818679935,0.011048543456039806,0.01473139127471974
batch_test_acc-mean,max_diversity-accuracy_score,0.1796875,0.3125,0.3046875,0.3411458333333333,0.265625,0.34375,0.2838541666666667,0.2890625,0.3203125,0.2994791666666667,0.3203125,0.3619791666666667,0.3333333333333333,0.3177083333333333,0.3307291666666667,0.328125,0.3671875,0.3567708333333333,0.3515625,0.3567708333333333,0.3385416666666667,0.3802083333333333,0.3046875,0.3203125,0.2916666666666667,0.328125,0.3020833333333333,0.3385416666666667,0.3098958333333333,0.3567708333333333,0.2942708333333333,0.3203125,0.3255208333333333,0.3125,0.2942708333333333,0.2838541666666667,0.3411458333333333,0.2864583333333333,0.3463541666666667,0.3255208333333333,0.3020833333333333,0.3098958333333333,0.3411458333333333,0.3177083333333333,0.3020833333333333,0.3489583333333333,0.3151041666666667,0.3255208333333333,0.3072916666666667,0.328125,0.3515625,0.2682291666666667,0.3333333333333333,0.3567708333333333,0.3307291666666667,0.328125,0.3072916666666667,0.2994791666666667,0.3125,0.3385416666666667,0.3385416666666667,0.3489583333333333,0.3020833333333333,0.2552083333333333,0.3385416666666667,0.3411458333333333,0.2994791666666667,0.3098958333333333,0.3463541666666667,0.3177083333333333,0.3567708333333333,0.3255208333333333,0.3854166666666667,0.3645833333333333,0.3046875,0.3645833333333333,0.3463541666666667,0.3385416666666667,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
batch_test_acc-std,max_diversity-accuracy_score,0.011048543456039806,0.12119871123145932,0.08629188294677548,0.1123721302624553,0.0919975090242484,0.14671422938545078,0.0849453459911463,0.0943987966687076,0.12119871123145932,0.11973504096429842,0.142064392676936,0.15419657649049437,0.11576099359840036,0.06880127507095264,0.147451954863459,0.10881553341550093,0.11285389937510651,0.11452413243383344,0.13989975019336764,0.11836789768086992,0.13171008975418533,0.15655352463738684,0.09396676329514955,0.11066942375456135,0.09403890669410306,0.11692679333668567,0.11345323391037482,0.12842529172852035,0.12058163440406484,0.14153831501772074,0.06389502159575676,0.12741801898671945,0.1123721302624553,0.1410583600411546,0.10311973892303818,0.10390592366281251,0.14786530798519154,0.1344617775356832,0.13745461687913174,0.0866056726474786,0.13536657727465654,0.10718289389196185,0.1114632008282953,0.13278696649981211,0.15733132778117934,0.13476405242641262,0.12472843765445882,0.13232652099908854,0.12889967365379773,0.12741801898671945,0.17009016450841594,0.07716423119806799,0.12889967365379773,0.12341662094867485,0.13400708677363132,0.1587046769290895,0.09229190180556954,0.10390592366281251,0.1195082698498309,0.13400708677363132,0.11576099359840036,0.14125053773250643,0.13863366306464756,0.07365695637359869,0.09681057445542242,0.1314007897035715,0.10793948841699326,0.13476405242641262,0.1371582716902468,0.16601434844280447,0.09660019266141358,0.13476405242641262,0.11628704980086514,0.1371582716902468,0.07733980419227864,0.1013285232205402,0.12521682583511778,0.10718289389196185,0.11785113019775792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
