,ensemble_name,0
batch_train_acc-std,probabilistic_better-f1_score-num_gurus-1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
batch_train_acc-mean,probabilistic_better-f1_score-num_gurus-3,"[0.9922, 0.9844, 0.9922, 1.0, 1.0, 0.9922, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
batch_train_acc-std,probabilistic_better-f1_score-num_gurus-3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
batch_train_acc-mean,probabilistic_better-f1_score-num_gurus-5,"[1.0, 0.9844, 0.9922, 1.0, 1.0, 0.9922, 1.0, 1.0, 1.0, 1.0, 1.0]"
batch_train_acc-std,probabilistic_better-f1_score-num_gurus-5,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
batch_train_acc-mean,probabilistic_weighted-accuracy_score-num_gurus-1,"[0.9922, 0.9766, 0.9922, 1.0, 1.0, 0.9922, 1.0, 1.0, 1.0, 1.0, 1.0]"
batch_train_acc-std,probabilistic_weighted-accuracy_score-num_gurus-1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
batch_train_acc-mean,probabilistic_weighted-accuracy_score-num_gurus-3,"[1.0, 0.9844, 0.9922, 1.0, 1.0, 0.9922, 1.0, 1.0, 1.0, 1.0, 1.0]"
batch_train_acc-std,probabilistic_weighted-accuracy_score-num_gurus-3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
batch_train_acc-mean,probabilistic_weighted-accuracy_score-num_gurus-5,"[0.9922, 0.9844, 0.9922, 1.0, 1.0, 0.9922, 1.0, 1.0, 1.0, 1.0, 1.0]"
batch_train_acc-std,probabilistic_weighted-accuracy_score-num_gurus-5,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
batch_train_acc-mean,probabilistic_weighted-balanced_accuracy_score-num_gurus-1,"[1.0, 0.9844, 0.9922, 1.0, 1.0, 0.9922, 1.0, 1.0, 1.0, 1.0, 1.0]"
batch_train_acc-std,probabilistic_weighted-balanced_accuracy_score-num_gurus-1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
batch_train_acc-mean,probabilistic_weighted-balanced_accuracy_score-num_gurus-3,"[1.0, 0.9922, 0.9922, 1.0, 1.0, 0.9922, 1.0, 1.0, 1.0, 1.0, 1.0]"
batch_train_acc-std,probabilistic_weighted-balanced_accuracy_score-num_gurus-3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
batch_train_acc-mean,probabilistic_weighted-balanced_accuracy_score-num_gurus-5,"[1.0, 0.9844, 0.9922, 1.0, 1.0, 0.9922, 1.0, 1.0, 1.0, 1.0, 1.0]"
batch_train_acc-std,probabilistic_weighted-balanced_accuracy_score-num_gurus-5,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
batch_train_acc-mean,probabilistic_weighted-f1_score-num_gurus-1,"[1.0, 0.9844, 0.9922, 1.0, 1.0, 0.9922, 1.0, 1.0, 1.0, 1.0, 1.0]"
batch_train_acc-std,probabilistic_weighted-f1_score-num_gurus-1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
batch_train_acc-mean,probabilistic_weighted-f1_score-num_gurus-3,"[0.9922, 0.9922, 0.9922, 1.0, 1.0, 0.9922, 1.0, 1.0, 1.0, 1.0, 1.0]"
batch_train_acc-std,probabilistic_weighted-f1_score-num_gurus-3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
batch_train_acc-mean,probabilistic_weighted-f1_score-num_gurus-5,"[0.9922, 0.9922, 0.9922, 1.0, 1.0, 0.9922, 1.0, 1.0, 1.0, 1.0, 1.0]"
batch_train_acc-std,probabilistic_weighted-f1_score-num_gurus-5,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
batch_train_acc-mean,max_diversity-accuracy_score-num_gurus-1,"[0.9922, 0.9844, 0.9922, 1.0, 1.0, 0.9922, 1.0, 1.0, 1.0, 1.0, 1.0]"
batch_train_acc-std,max_diversity-accuracy_score-num_gurus-1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
batch_train_acc-mean,max_diversity-accuracy_score-num_gurus-3,"[1.0, 0.9922, 0.9922, 1.0, 1.0, 0.9922, 1.0, 1.0, 1.0, 1.0, 1.0]"
batch_train_acc-std,max_diversity-accuracy_score-num_gurus-3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
batch_train_acc-mean,max_diversity-accuracy_score-num_gurus-5,"[0.9922, 0.9922, 0.9922, 1.0, 1.0, 0.9922, 1.0, 1.0, 1.0, 1.0, 1.0]"
batch_train_acc-std,max_diversity-accuracy_score-num_gurus-5,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
batch_train_acc-mean,max_diversity-balanced_accuracy_score-num_gurus-1,"[1.0, 0.9922, 0.9922, 1.0, 1.0, 0.9922, 1.0, 1.0, 1.0, 1.0, 1.0]"
batch_train_acc-std,max_diversity-balanced_accuracy_score-num_gurus-1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
batch_train_acc-mean,max_diversity-balanced_accuracy_score-num_gurus-3,"[0.9922, 0.9844, 0.9922, 1.0, 1.0, 0.9922, 1.0, 1.0, 1.0, 1.0, 1.0]"
batch_train_acc-std,max_diversity-balanced_accuracy_score-num_gurus-3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
batch_train_acc-mean,max_diversity-balanced_accuracy_score-num_gurus-5,"[1.0, 0.9844, 0.9922, 1.0, 1.0, 0.9922, 1.0, 1.0, 1.0, 1.0, 1.0]"
batch_train_acc-std,max_diversity-balanced_accuracy_score-num_gurus-5,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
batch_train_acc-mean,max_diversity-f1_score-num_gurus-1,"[1.0, 0.9922, 0.9922, 1.0, 1.0, 0.9922, 1.0, 1.0, 1.0, 1.0, 1.0]"
batch_train_acc-std,max_diversity-f1_score-num_gurus-1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
batch_train_acc-mean,max_diversity-f1_score-num_gurus-3,"[0.9922, 0.9922, 0.9922, 1.0, 1.0, 0.9922, 1.0, 1.0, 1.0, 1.0, 1.0]"
batch_train_acc-std,max_diversity-f1_score-num_gurus-3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
batch_train_acc-mean,max_diversity-f1_score-num_gurus-5,"[1.0, 0.9922, 0.9922, 1.0, 1.0, 0.9922, 1.0, 1.0, 1.0, 1.0, 1.0]"
batch_train_acc-std,max_diversity-f1_score-num_gurus-5,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
batch_train_acc-mean,single_Net,"[0.9453, 0.9688, 0.9609, 1.0, 0.9609, 0.9922, 1.0, 1.0, 1.0, 1.0, 1.0]"
batch_train_acc-std,single_Net,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
