,ensemble_name,0
batch_test_acc-mean,full-ensemble,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9818, 0.9714, 0.9401, 0.9714, 0.9714, 0.9661, 0.9792, 0.9792, 0.9583, 0.9557, 0.974, 0.9714, 0.974, 0.9635, 0.9766, 0.9894]"
batch_test_acc-std,full-ensemble,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0133, 0.0097, 0.0037, 0.0097, 0.0097, 0.0074, 0.0097, 0.0097, 0.0097, 0.0133, 0.0097, 0.0074, 0.0037, 0.0195, 0.0, 0.0075]"
batch_train_acc-mean,full-ensemble,"[0.9896, 0.9974, 1.0, 1.0, 0.9948, 0.9896, 0.9974, 0.9974, 0.9948, 0.9974, 0.9974, 0.9974, 0.9974, 0.9974, 0.9974, 0.9948, 0.9974, 1.0, 0.9896, 1.0, 0.9974, 0.9948, 0.987, 0.9922, 1.0, 0.9974, 0.9974, 0.9974, 0.9948, 1.0, 0.9974, 1.0, 1.0, 0.9974, 0.9974, 1.0, 1.0, 0.9974, 0.9896, 0.9974, 1.0, 1.0, 0.9948, 1.0, 0.9974, 1.0, 0.9948, 0.9974, 1.0, 0.9948, 1.0, 0.9974, 0.9896, 1.0, 0.9948, 0.9948, 1.0, 0.9948, 1.0, 0.9974, 1.0, 1.0, 0.9974, 1.0, 0.9948, 0.9974, 0.9948, 0.9948, 0.9974, 1.0, 0.9974, 1.0, 1.0, 0.9974, 0.9948, 0.9974, 0.9948, 1.0, 1.0, 0.9974, 1.0, 1.0, 1.0, 1.0, 0.9948, 1.0, 1.0, 1.0, 0.9974, 1.0, 1.0, 0.9974, 0.9948, 0.9974, 0.9948, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0078, 0.3542, 0.7161, 0.8177, 0.8385, 0.875, 0.875, 0.888, 0.8958, 0.9193, 0.9271, 0.9036, 0.875, 0.9219, 0.9193, 0.9479, 0.9271, 0.9401, 0.9375, 0.9297, 0.9375, 0.9401, 0.9453, 0.9557, 0.9505, 0.9453, 0.9427, 0.9349, 0.9688, 0.9323, 0.9349, 0.9557, 0.9688, 0.9557, 0.9714, 0.9635, 0.9479, 0.9557, 0.9609, 0.9609, 0.9661, 0.9531, 0.9661, 0.9766, 0.9583, 0.9661, 0.9714, 0.9531, 0.9714, 0.9505, 0.974, 0.9609, 0.9609, 0.9818, 0.9714, 0.9635, 0.9557, 0.9688, 0.9714, 0.9661, 0.974, 0.9635, 0.9661, 0.9688, 0.9635, 0.9531, 0.974, 0.9818, 0.9635, 0.9714, 0.9635, 0.974, 0.9661, 0.9635, 0.9583, 0.9714, 0.9714, 0.9792, 0.9844, 0.9844, 0.9792, 0.9661, 0.9818, 0.9766, 0.9661, 0.9766, 0.9766, 0.9661, 0.9714, 0.9635, 0.9649, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0443, 0.2396, 0.4688, 0.638, 0.612, 0.513, 0.5729, 0.5521, 0.5417, 0.5651, 0.6146, 0.5625, 0.625, 0.7448, 0.8151, 0.8802, 0.9141, 0.9297, 0.9323, 0.9505, 0.9479, 0.9427, 0.9557, 0.9479, 0.9557, 0.9609, 0.9583, 0.974, 0.974, 0.9766, 0.9661, 0.974, 0.9818, 0.9792, 0.9714, 0.9401, 0.9714, 0.9792, 0.9766, 0.974, 0.9922, 0.9714, 0.9844, 0.9844, 0.9896, 0.987, 0.9818, 0.9922, 0.9818, 0.9844, 0.987, 0.9792, 0.9844, 0.9818, 0.9896, 0.9792, 0.9844, 0.9896, 0.9818, 0.9844, 0.987, 0.9896, 0.9948, 0.9974, 0.987, 0.9844, 0.9766, 0.974, 0.9948, 0.9792, 0.987, 0.9766, 0.9844, 0.9922, 0.9792, 0.9844, 0.974, 0.9766, 0.9869, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0573, 0.388, 0.6068, 0.7292, 0.7812, 0.7708, 0.7917, 0.8307, 0.8932, 0.9479, 0.9688, 0.9844, 0.9948, 0.9948, 0.9896, 0.9948, 0.9948, 0.9948, 0.9922, 0.9922, 1.0, 0.9896, 0.9922, 0.9974, 0.9922, 0.9974, 1.0, 0.987, 0.9974, 0.9974, 0.9922, 0.9922, 0.9948, 0.9948, 0.9974, 0.9922, 0.9974, 0.9974, 1.0, 0.9974, 0.9948, 0.9948, 0.9896, 1.0, 0.9974, 0.9948, 0.9948, 0.9974, 0.9948, 1.0, 0.9974, 1.0, 0.9974, 1.0, 0.9922, 0.9922, 0.9948, 0.9948, 1.0, 0.9948, 0.9974, 0.9948, 0.9896, 0.9974, 0.9974, 0.9974, 0.9922, 0.9948, 1.0, 0.9948, 0.9974, 0.9974, 0.9974, 0.9974, 0.9948, 0.9948, 0.9974, 1.0, 1.0, 0.9922, 0.9974, 0.9974, 0.9974, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.237, 0.5104, 0.6276, 0.6927, 0.7812, 0.862, 0.8646, 0.8958, 0.888, 0.8906, 0.901, 0.8958, 0.8568, 0.9271, 0.8932, 0.8984, 0.9375, 0.9089, 0.9115, 0.9557, 0.9583, 0.9583, 0.9505, 0.9427, 0.9531, 0.9453, 0.9453, 0.9557, 0.9401, 0.9583, 0.9479, 0.9609, 0.9453, 0.9323, 0.9479, 0.9531, 0.9714, 0.9505, 0.9609, 0.9688, 0.9505, 0.9766, 0.9557, 0.9609, 0.9609, 0.9609, 0.9505, 0.9714, 0.9583, 0.9688, 0.9479, 0.9609, 0.9635, 0.9688, 0.9661, 0.9557, 0.9609, 0.9661, 0.974, 0.9661, 0.9583, 0.974, 0.9557, 0.9714, 0.9557, 0.974, 0.9661, 0.9635, 0.9896, 0.9714, 0.9714, 0.9844, 0.9792, 0.9661, 0.9688, 0.9714, 0.9635, 0.9792, 1.0]"
batch_train_acc-std,full-ensemble,"[0.0037, 0.0037, 0.0, 0.0, 0.0037, 0.0074, 0.0037, 0.0037, 0.0037, 0.0037, 0.0037, 0.0037, 0.0037, 0.0037, 0.0037, 0.0074, 0.0037, 0.0, 0.0097, 0.0, 0.0037, 0.0037, 0.0037, 0.0064, 0.0, 0.0037, 0.0037, 0.0037, 0.0037, 0.0, 0.0037, 0.0, 0.0, 0.0037, 0.0037, 0.0, 0.0, 0.0037, 0.0097, 0.0037, 0.0, 0.0, 0.0037, 0.0, 0.0037, 0.0, 0.0074, 0.0037, 0.0, 0.0074, 0.0, 0.0037, 0.0037, 0.0, 0.0037, 0.0037, 0.0, 0.0037, 0.0, 0.0037, 0.0, 0.0, 0.0037, 0.0, 0.0037, 0.0037, 0.0074, 0.0074, 0.0037, 0.0, 0.0037, 0.0, 0.0, 0.0037, 0.0037, 0.0037, 0.0037, 0.0, 0.0, 0.0037, 0.0, 0.0, 0.0, 0.0, 0.0037, 0.0, 0.0, 0.0, 0.0037, 0.0, 0.0, 0.0037, 0.0037, 0.0037, 0.0037, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.011, 0.1405, 0.0772, 0.039, 0.0037, 0.0191, 0.0064, 0.0288, 0.0037, 0.0258, 0.0295, 0.0097, 0.0064, 0.0355, 0.0037, 0.0147, 0.0097, 0.0097, 0.0255, 0.0064, 0.0169, 0.0258, 0.0278, 0.0184, 0.0097, 0.0128, 0.0242, 0.0037, 0.011, 0.0195, 0.0161, 0.0195, 0.0064, 0.0147, 0.0097, 0.0097, 0.0097, 0.0161, 0.0169, 0.0221, 0.0161, 0.0169, 0.0133, 0.0064, 0.0133, 0.0097, 0.0147, 0.0064, 0.0074, 0.0097, 0.0074, 0.0128, 0.011, 0.0147, 0.0037, 0.0037, 0.0133, 0.0169, 0.0133, 0.0097, 0.0074, 0.0097, 0.0097, 0.0128, 0.0147, 0.0128, 0.0097, 0.0037, 0.0097, 0.0097, 0.0161, 0.0037, 0.0205, 0.0133, 0.0161, 0.0097, 0.0074, 0.0133, 0.0064, 0.0064, 0.0037, 0.0097, 0.0097, 0.0064, 0.0097, 0.0064, 0.0169, 0.0097, 0.0195, 0.0147, 0.0286, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0351, 0.0516, 0.0388, 0.0706, 0.0966, 0.0301, 0.039, 0.047, 0.039, 0.0133, 0.0266, 0.0221, 0.0447, 0.0645, 0.0664, 0.0258, 0.011, 0.0064, 0.0133, 0.0097, 0.0074, 0.0037, 0.0133, 0.0205, 0.0037, 0.0169, 0.0133, 0.0205, 0.0037, 0.0064, 0.0037, 0.0037, 0.0074, 0.0037, 0.0184, 0.0097, 0.0074, 0.0074, 0.0128, 0.0224, 0.0, 0.0097, 0.0128, 0.0064, 0.0037, 0.0037, 0.0097, 0.0064, 0.0133, 0.0064, 0.0037, 0.0074, 0.011, 0.0097, 0.0097, 0.0074, 0.0128, 0.0037, 0.0097, 0.011, 0.0037, 0.0074, 0.0037, 0.0037, 0.0074, 0.0169, 0.0064, 0.0097, 0.0074, 0.0133, 0.0074, 0.0064, 0.0, 0.0, 0.0097, 0.0128, 0.0195, 0.0128, 0.0098, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0703, 0.1149, 0.062, 0.1135, 0.1727, 0.1752, 0.1736, 0.1413, 0.1237, 0.0572, 0.0388, 0.011, 0.0074, 0.0037, 0.0037, 0.0037, 0.0037, 0.0074, 0.0064, 0.0064, 0.0, 0.0037, 0.0064, 0.0037, 0.0064, 0.0037, 0.0, 0.0097, 0.0037, 0.0037, 0.0, 0.0, 0.0037, 0.0074, 0.0037, 0.0064, 0.0037, 0.0037, 0.0, 0.0037, 0.0037, 0.0037, 0.0074, 0.0, 0.0037, 0.0074, 0.0037, 0.0037, 0.0037, 0.0, 0.0037, 0.0, 0.0037, 0.0, 0.0064, 0.0064, 0.0074, 0.0037, 0.0, 0.0037, 0.0037, 0.0037, 0.0074, 0.0037, 0.0037, 0.0037, 0.0, 0.0037, 0.0, 0.0074, 0.0037, 0.0037, 0.0037, 0.0037, 0.0037, 0.0037, 0.0037, 0.0, 0.0, 0.0064, 0.0037, 0.0037, 0.0037, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1539, 0.216, 0.2151, 0.1851, 0.1337, 0.0652, 0.0448, 0.0321, 0.0288, 0.0064, 0.0037, 0.0195, 0.0579, 0.0205, 0.0748, 0.0663, 0.023, 0.0097, 0.0074, 0.0097, 0.0097, 0.0161, 0.0074, 0.0195, 0.0169, 0.0064, 0.0169, 0.0037, 0.0097, 0.0097, 0.0074, 0.0128, 0.0128, 0.0037, 0.0037, 0.011, 0.0074, 0.0097, 0.011, 0.0, 0.0133, 0.0191, 0.0224, 0.0221, 0.011, 0.0169, 0.0161, 0.0074, 0.0161, 0.0128, 0.0074, 0.0128, 0.0037, 0.0128, 0.0133, 0.0097, 0.0128, 0.0133, 0.0074, 0.0097, 0.0074, 0.0133, 0.0205, 0.0147, 0.0133, 0.0037, 0.0097, 0.0074, 0.0097, 0.0037, 0.0147, 0.0064, 0.0097, 0.0097, 0.0064, 0.0074, 0.0097, 0.0037, 0.0]"
batch_test_acc-mean,random_better-accuracy_score,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9766, 0.974, 0.9818, 0.987, 0.9766, 0.9844, 0.9792, 0.9766, 0.9714, 0.9818, 0.987, 0.9688, 0.9818, 0.9661, 0.9818, 0.9596, 0.4635, 0.4557, 0.4505, 0.5469, 0.4948, 0.513, 0.4453, 0.526, 0.474, 0.4896, 0.4193, 0.5052, 0.4688, 0.487, 0.4401, 0.545]"
batch_test_acc-std,random_better-accuracy_score,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0128, 0.0147, 0.0037, 0.0037, 0.011, 0.0064, 0.0037, 0.0128, 0.0133, 0.0097, 0.0037, 0.0128, 0.0037, 0.0133, 0.0133, 0.0071, 0.047, 0.0479, 0.0461, 0.0447, 0.0866, 0.0097, 0.023, 0.0097, 0.0989, 0.041, 0.0147, 0.0161, 0.046, 0.07, 0.0224, 0.0863]"
batch_train_acc-mean,random_better-accuracy_score,"[0.9922, 0.9974, 1.0, 1.0, 0.9948, 0.9896, 0.9974, 0.9974, 0.9948, 0.9974, 0.9974, 0.9974, 0.9948, 0.9974, 0.9974, 0.9948, 0.9974, 1.0, 0.9896, 1.0, 0.9974, 0.9948, 0.987, 0.9922, 1.0, 0.9974, 0.9974, 0.9974, 0.9948, 1.0, 0.9974, 1.0, 1.0, 0.9948, 0.9974, 1.0, 1.0, 0.9974, 0.9896, 0.9974, 1.0, 1.0, 0.9948, 1.0, 0.9974, 1.0, 0.9948, 0.9974, 1.0, 0.9948, 1.0, 0.9974, 0.987, 1.0, 0.9948, 0.9948, 1.0, 0.9974, 1.0, 0.9974, 1.0, 1.0, 0.9974, 1.0, 0.9974, 0.9974, 0.9948, 0.9948, 0.9974, 1.0, 1.0, 1.0, 1.0, 0.9974, 0.9948, 0.9974, 0.9948, 1.0, 1.0, 0.9974, 1.0, 1.0, 1.0, 1.0, 0.9948, 1.0, 1.0, 1.0, 0.9974, 0.9974, 1.0, 1.0, 0.9948, 0.9974, 0.9948, 1.0, 1.0, 0.9974, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3724, 0.2865, 0.6589, 0.8724, 0.8854, 0.8698, 0.8359, 0.9219, 0.9271, 0.9062, 0.8854, 0.9141, 0.9141, 0.9323, 0.9375, 0.9427, 0.9323, 0.9297, 0.9375, 0.9479, 0.9505, 0.9505, 0.9453, 0.9427, 0.9401, 0.9349, 0.9635, 0.9271, 0.9375, 0.9583, 0.9688, 0.9557, 0.9714, 0.9609, 0.9401, 0.9583, 0.9661, 0.9661, 0.9635, 0.9531, 0.9635, 0.9714, 0.9557, 0.9635, 0.9714, 0.9531, 0.974, 0.9505, 0.974, 0.9635, 0.9635, 0.9818, 0.9714, 0.9609, 0.9583, 0.9688, 0.9714, 0.9635, 0.974, 0.9635, 0.9688, 0.9688, 0.9609, 0.9557, 0.9766, 0.9766, 0.9661, 0.9688, 0.9661, 0.9688, 0.9635, 0.9661, 0.9557, 0.974, 0.9688, 0.9792, 0.9766, 0.9844, 0.9766, 0.9688, 0.9792, 0.9766, 0.9635, 0.9766, 0.9792, 0.9688, 0.9688, 0.9661, 0.9591, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.375, 0.6641, 0.8906, 0.7812, 0.8229, 0.8438, 0.875, 0.8099, 0.9453, 0.9427, 0.9583, 0.9323, 0.9505, 0.9427, 0.9453, 0.9557, 0.9505, 0.9714, 0.9401, 0.9609, 0.9479, 0.9635, 0.9661, 0.9635, 0.9609, 0.9583, 0.9818, 0.974, 0.9792, 0.9818, 0.9766, 0.9792, 0.974, 0.9792, 0.9844, 0.9844, 0.974, 0.9505, 0.9818, 0.987, 0.9792, 0.987, 0.9922, 0.9818, 0.9792, 0.9896, 0.9922, 0.9896, 0.987, 0.9948, 0.9818, 0.987, 0.987, 0.9792, 0.9844, 0.9844, 0.9896, 0.987, 0.9844, 0.9922, 0.9896, 0.9896, 0.987, 0.987, 0.9922, 0.9974, 0.9896, 0.9818, 0.9766, 0.9766, 0.9948, 0.9792, 0.987, 0.9766, 0.9844, 0.9922, 0.9792, 0.9844, 0.9583, 0.9688, 0.979, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1016, 0.0599, 0.3359, 0.4844, 0.7708, 0.8151, 0.7891, 0.8021, 0.8125, 0.8359, 0.8307, 0.8411, 0.9089, 0.9115, 0.9792, 0.9896, 0.9948, 0.9922, 0.9922, 0.987, 0.9948, 0.9948, 0.9948, 0.9896, 0.9948, 1.0, 0.9974, 0.9974, 0.9974, 0.9922, 0.9974, 1.0, 0.9896, 0.9974, 1.0, 0.9974, 0.9922, 0.9974, 0.9974, 0.9922, 0.9948, 0.9974, 0.9974, 1.0, 0.9974, 0.9948, 0.9948, 0.9922, 1.0, 0.9974, 0.9974, 0.9948, 0.9974, 0.9948, 1.0, 1.0, 1.0, 0.9974, 1.0, 0.9922, 0.9922, 0.9948, 1.0, 1.0, 0.9948, 0.9948, 0.9948, 0.9922, 0.9974, 0.9974, 0.9974, 0.9948, 0.9948, 1.0, 0.9922, 0.9974, 0.9974, 0.6667, 0.6667, 0.987, 0.9948, 0.6641, 0.6667, 0.6667, 0.6641, 0.8542, 0.9974, 0.9974, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2135, 0.3542, 0.4427, 0.6042, 0.4115, 0.7083, 0.7891, 0.8542, 0.7552, 0.8646, 0.8906, 0.7786, 0.8125, 0.849, 0.8776, 0.8307, 0.8932, 0.8594, 0.9036, 0.8958, 0.9349, 0.9271, 0.9349, 0.9193, 0.9167, 0.9479, 0.9401, 0.9479, 0.9401, 0.9427, 0.9557, 0.9505, 0.9401, 0.9453, 0.9635, 0.9427, 0.9583, 0.9609, 0.9297, 0.9479, 0.9505, 0.9766, 0.9505, 0.9583, 0.9609, 0.9583, 0.974, 0.9635, 0.974, 0.9583, 0.9557, 0.9479, 0.9714, 0.9661, 0.9661, 0.9583, 0.9609, 0.9557, 0.974, 0.9635, 0.9583, 0.9609, 0.9714, 0.9714, 0.9714, 0.9557, 0.9792, 0.9583, 0.9714, 0.9583, 0.974, 0.9661, 0.974, 0.987, 0.9714, 0.974, 0.9818, 0.974, 0.9609, 0.9714, 0.9766, 0.9714, 0.9792, 1.0]"
batch_train_acc-std,random_better-accuracy_score,"[0.0064, 0.0037, 0.0, 0.0, 0.0037, 0.0074, 0.0037, 0.0037, 0.0037, 0.0037, 0.0037, 0.0037, 0.0037, 0.0037, 0.0037, 0.0074, 0.0037, 0.0, 0.0097, 0.0, 0.0037, 0.0037, 0.0037, 0.0064, 0.0, 0.0037, 0.0037, 0.0037, 0.0037, 0.0, 0.0037, 0.0, 0.0, 0.0074, 0.0037, 0.0, 0.0, 0.0037, 0.0097, 0.0037, 0.0, 0.0, 0.0037, 0.0, 0.0037, 0.0, 0.0074, 0.0037, 0.0, 0.0074, 0.0, 0.0037, 0.0037, 0.0, 0.0037, 0.0037, 0.0, 0.0037, 0.0, 0.0037, 0.0, 0.0, 0.0037, 0.0, 0.0037, 0.0037, 0.0074, 0.0074, 0.0037, 0.0, 0.0, 0.0, 0.0, 0.0037, 0.0037, 0.0037, 0.0037, 0.0, 0.0, 0.0037, 0.0, 0.0, 0.0, 0.0, 0.0037, 0.0, 0.0, 0.0, 0.0037, 0.0037, 0.0, 0.0, 0.0037, 0.0037, 0.0037, 0.0, 0.0, 0.0037, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.126, 0.3308, 0.2726, 0.0074, 0.0195, 0.0847, 0.139, 0.0169, 0.0321, 0.0, 0.0258, 0.0331, 0.0, 0.0195, 0.0064, 0.0074, 0.0266, 0.0169, 0.0278, 0.0074, 0.0097, 0.0205, 0.0064, 0.0097, 0.0266, 0.0037, 0.0097, 0.0224, 0.0191, 0.0161, 0.0064, 0.0097, 0.0037, 0.0128, 0.0147, 0.0161, 0.0147, 0.0147, 0.0195, 0.0169, 0.0097, 0.0074, 0.0147, 0.0074, 0.0147, 0.011, 0.0074, 0.0133, 0.0074, 0.0097, 0.0147, 0.0147, 0.0037, 0.0, 0.0097, 0.0169, 0.0133, 0.0037, 0.0074, 0.0097, 0.0128, 0.011, 0.0169, 0.0097, 0.0064, 0.0064, 0.0074, 0.0128, 0.0161, 0.0064, 0.0224, 0.0147, 0.0161, 0.0133, 0.0064, 0.0133, 0.0064, 0.0064, 0.0064, 0.0064, 0.0074, 0.0064, 0.0133, 0.0064, 0.0133, 0.0064, 0.023, 0.0133, 0.0219, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1232, 0.1344, 0.0736, 0.1566, 0.1124, 0.1054, 0.069, 0.1142, 0.023, 0.0195, 0.0097, 0.0453, 0.0242, 0.0097, 0.023, 0.0074, 0.0074, 0.0097, 0.0097, 0.0064, 0.0184, 0.0097, 0.0037, 0.0074, 0.0064, 0.0184, 0.0037, 0.0037, 0.0097, 0.0161, 0.0064, 0.0037, 0.0037, 0.0037, 0.0064, 0.0064, 0.0205, 0.0133, 0.0097, 0.0097, 0.0133, 0.0097, 0.0, 0.0133, 0.0097, 0.0074, 0.0064, 0.0037, 0.0037, 0.0074, 0.0133, 0.0074, 0.0037, 0.0074, 0.011, 0.0064, 0.0097, 0.0037, 0.0128, 0.0, 0.0074, 0.0097, 0.0037, 0.0097, 0.0064, 0.0037, 0.0037, 0.0161, 0.0064, 0.0064, 0.0074, 0.0133, 0.0074, 0.0064, 0.0, 0.0, 0.0133, 0.0128, 0.0351, 0.0064, 0.0037, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1436, 0.0847, 0.3326, 0.3575, 0.1723, 0.1413, 0.1655, 0.1752, 0.1552, 0.1993, 0.1952, 0.1654, 0.1127, 0.1197, 0.0133, 0.0037, 0.0037, 0.0064, 0.011, 0.0097, 0.0074, 0.0037, 0.0037, 0.0097, 0.0074, 0.0, 0.0037, 0.0037, 0.0037, 0.0064, 0.0037, 0.0, 0.0097, 0.0037, 0.0, 0.0037, 0.0, 0.0037, 0.0037, 0.0064, 0.0037, 0.0037, 0.0037, 0.0, 0.0037, 0.0037, 0.0037, 0.0064, 0.0, 0.0037, 0.0037, 0.0037, 0.0037, 0.0037, 0.0, 0.0, 0.0, 0.0037, 0.0, 0.011, 0.0064, 0.0074, 0.0, 0.0, 0.0037, 0.0037, 0.0037, 0.0064, 0.0037, 0.0037, 0.0037, 0.0037, 0.0037, 0.0, 0.0064, 0.0037, 0.0037, 0.4714, 0.4714, 0.0133, 0.0037, 0.4696, 0.4714, 0.4714, 0.4696, 0.2007, 0.0037, 0.0037, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.302, 0.3231, 0.3882, 0.0703, 0.291, 0.0792, 0.1181, 0.1098, 0.0495, 0.0385, 0.011, 0.0184, 0.0736, 0.0487, 0.0097, 0.0717, 0.0415, 0.0278, 0.0097, 0.041, 0.0195, 0.0133, 0.0097, 0.0205, 0.041, 0.0097, 0.0161, 0.0133, 0.0097, 0.0133, 0.0097, 0.0147, 0.0133, 0.0128, 0.0147, 0.0037, 0.0097, 0.011, 0.0064, 0.0074, 0.0074, 0.0, 0.0161, 0.0097, 0.0064, 0.0161, 0.0097, 0.0133, 0.0133, 0.0037, 0.0195, 0.0133, 0.0037, 0.0133, 0.0161, 0.0133, 0.011, 0.0097, 0.0097, 0.0133, 0.0097, 0.011, 0.0074, 0.0037, 0.0133, 0.0097, 0.0097, 0.0184, 0.0161, 0.0097, 0.0037, 0.0097, 0.0037, 0.0133, 0.0037, 0.0133, 0.0037, 0.0037, 0.0064, 0.0037, 0.011, 0.0097, 0.0037, 0.0]"
batch_test_acc-mean,random_better-balanced_accuracy_score,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9661, 0.9609, 0.9635, 0.9635, 0.9635, 0.9661, 0.9688, 0.9635, 0.9661, 0.9792, 0.9714, 0.9557, 0.9844, 0.9583, 0.9714, 0.9495, 0.6094, 0.5859, 0.5495, 0.6536, 0.625, 0.6276, 0.6016, 0.6406, 0.6094, 0.5911, 0.5651, 0.612, 0.6406, 0.6042, 0.5807, 0.6349]"
batch_test_acc-std,random_better-balanced_accuracy_score,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0195, 0.0169, 0.0184, 0.0195, 0.0037, 0.0097, 0.011, 0.0133, 0.0205, 0.0133, 0.0097, 0.0037, 0.0128, 0.0147, 0.0242, 0.0071, 0.1373, 0.1344, 0.0916, 0.0725, 0.0736, 0.1389, 0.1535, 0.1445, 0.1027, 0.1062, 0.176, 0.1348, 0.1364, 0.1079, 0.1665, 0.0648]"
