,ensemble_name,0
batch_test_acc-mean,full-ensemble,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.957, 0.9648, 0.9844, 0.9688, 0.9727, 0.9648, 0.9805, 0.9648, 0.9609, 0.9766, 0.957, 0.9414, 0.9727, 0.9688, 0.9727, 0.9683]"
batch_test_acc-std,full-ensemble,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0039, 0.0195, 0.0, 0.0078, 0.0039, 0.0195, 0.0195, 0.0117, 0.0078, 0.0156, 0.0039, 0.0039, 0.0039, 0.0, 0.0117, 0.0159]"
batch_train_acc-mean,full-ensemble,"[0.9375, 0.9727, 0.9961, 0.9883, 0.9883, 0.9883, 0.9922, 0.9922, 0.9883, 0.9883, 0.9961, 0.9883, 0.9961, 0.9961, 0.9961, 1.0, 0.9883, 0.9883, 0.9844, 0.9883, 0.9844, 0.9883, 0.9922, 1.0, 1.0, 1.0, 0.9961, 1.0, 0.9922, 1.0, 1.0, 0.9922, 0.9961, 0.9922, 1.0, 0.9961, 1.0, 1.0, 0.9961, 1.0, 0.9961, 1.0, 1.0, 1.0, 0.9922, 1.0, 0.9961, 0.9922, 1.0, 1.0, 0.9844, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9961, 1.0, 0.9961, 0.9961, 0.9961, 0.9961, 1.0, 0.9922, 1.0, 1.0, 1.0, 0.9961, 0.9961, 0.9883, 1.0, 1.0, 1.0, 0.9961, 1.0, 1.0, 1.0, 0.9961, 0.9961, 1.0, 1.0, 1.0, 0.9961, 0.9922, 1.0, 1.0, 1.0, 1.0, 0.9961, 1.0, 0.9961, 1.0, 1.0, 0.9961, 1.0, 1.0, 0.9961, 0.9959, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0078, 0.1914, 0.6094, 0.8047, 0.8633, 0.9023, 0.8516, 0.9062, 0.8594, 0.9023, 0.9062, 0.9297, 0.9062, 0.8945, 0.9023, 0.918, 0.918, 0.9102, 0.9258, 0.9375, 0.9141, 0.9492, 0.9258, 0.9219, 0.9219, 0.9453, 0.9336, 0.9375, 0.9219, 0.9531, 0.9375, 0.957, 0.9336, 0.9531, 0.9414, 0.9336, 0.9531, 0.9453, 0.9453, 0.9688, 0.9609, 0.9492, 0.9648, 0.957, 0.9531, 0.957, 0.9531, 0.9688, 0.9688, 0.9609, 0.9531, 0.9844, 0.957, 0.9688, 0.9648, 0.9414, 0.9766, 0.9727, 0.9688, 0.9375, 0.957, 0.9727, 0.9883, 0.9727, 0.957, 0.9766, 0.9648, 0.957, 0.9492, 0.9648, 0.9648, 0.9688, 0.957, 0.9609, 0.9609, 0.9766, 0.9648, 0.9609, 0.9766, 0.9648, 0.9727, 0.9844, 0.9688, 0.9766, 0.9609, 0.9648, 0.957, 0.9825, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0039, 0.0703, 0.2969, 0.4961, 0.6445, 0.7344, 0.7188, 0.7148, 0.7656, 0.7383, 0.7188, 0.7578, 0.7539, 0.7227, 0.7266, 0.7617, 0.793, 0.7617, 0.8555, 0.8945, 0.9102, 0.9531, 0.9414, 0.9531, 0.918, 0.9414, 0.9297, 0.9453, 0.9492, 0.9609, 0.9336, 0.9258, 0.9375, 0.9336, 0.9727, 0.9414, 0.9375, 0.9531, 0.9492, 0.957, 0.9219, 0.9531, 0.9648, 0.957, 0.9531, 0.9531, 0.957, 0.9414, 0.9688, 0.9727, 0.9844, 0.9805, 0.9727, 0.9688, 0.9727, 0.9414, 0.9648, 0.9805, 0.9844, 0.9609, 0.9883, 0.9805, 0.9531, 0.9805, 0.9844, 0.9648, 0.9766, 0.9648, 0.9844, 0.9844, 0.9648, 0.9883, 0.9844, 0.9922, 0.9724, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0195, 0.2109, 0.3828, 0.5273, 0.6016, 0.625, 0.6914, 0.6953, 0.6953, 0.7344, 0.7383, 0.7305, 0.7461, 0.7383, 0.7656, 0.7227, 0.8008, 0.8125, 0.8125, 0.8359, 0.8867, 0.8789, 0.8711, 0.8594, 0.8281, 0.7969, 0.8086, 0.8047, 0.832, 0.8398, 0.9062, 0.9609, 0.9648, 0.9766, 0.9766, 0.9883, 0.9961, 0.9805, 1.0, 0.9766, 0.9883, 0.9961, 1.0, 0.9883, 0.9961, 0.9844, 0.9922, 0.9961, 0.9961, 0.9883, 0.9922, 0.9922, 0.9805, 0.9883, 0.9961, 0.9961, 0.9961, 0.9961, 0.9883, 0.9961, 0.9961, 1.0, 0.9922, 0.9766, 0.9766, 1.0, 0.9961, 0.9961, 0.9961, 0.9844, 0.9844, 1.0, 1.0, 0.9961, 1.0, 0.9961, 0.9922, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0078, 0.043, 0.1055, 0.1875, 0.2734, 0.3594, 0.4375, 0.5664, 0.6172, 0.7344, 0.6875, 0.7148, 0.8125, 0.8242, 0.8203, 0.8906, 0.8906, 0.9297, 0.8906, 0.918, 0.8867, 0.9141, 0.8867, 0.9062, 0.8945, 0.8867, 0.8438, 0.8516, 0.8477, 0.8359, 0.8281, 0.8945, 0.9336, 0.8984, 0.9258, 0.9492, 0.9492, 0.9492, 0.9414, 0.9531, 0.9453, 0.9531, 0.9492, 0.9336, 0.9531, 0.9766, 0.9453, 0.9453, 0.9414, 0.9531, 0.957, 0.9531, 0.9609, 0.957, 0.957, 0.9688, 0.9531, 0.9648, 0.9648, 0.957, 0.9531, 0.9805, 0.9648, 0.9414, 0.9609, 0.9336, 0.9805, 0.9648, 0.9766, 0.9688, 0.957, 0.9688, 0.9688, 0.9766, 0.9727, 0.9492, 0.957, 0.9492, 0.9688, 0.8958]"
batch_train_acc-std,full-ensemble,"[0.0469, 0.0195, 0.0039, 0.0117, 0.0039, 0.0117, 0.0078, 0.0, 0.0117, 0.0039, 0.0039, 0.0117, 0.0039, 0.0039, 0.0039, 0.0, 0.0039, 0.0039, 0.0, 0.0039, 0.0156, 0.0117, 0.0078, 0.0, 0.0, 0.0, 0.0039, 0.0, 0.0078, 0.0, 0.0, 0.0, 0.0039, 0.0, 0.0, 0.0039, 0.0, 0.0, 0.0039, 0.0, 0.0039, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0039, 0.0, 0.0, 0.0, 0.0078, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0039, 0.0, 0.0039, 0.0039, 0.0039, 0.0039, 0.0, 0.0078, 0.0, 0.0, 0.0, 0.0039, 0.0039, 0.0039, 0.0, 0.0, 0.0, 0.0039, 0.0, 0.0, 0.0, 0.0039, 0.0039, 0.0, 0.0, 0.0, 0.0039, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0039, 0.0, 0.0039, 0.0, 0.0, 0.0039, 0.0, 0.0, 0.0039, 0.0041, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0078, 0.0352, 0.0625, 0.0547, 0.0117, 0.0117, 0.0078, 0.0469, 0.0859, 0.043, 0.0312, 0.0078, 0.0078, 0.0195, 0.0273, 0.0195, 0.0117, 0.043, 0.0039, 0.0156, 0.0156, 0.0039, 0.0195, 0.0078, 0.0, 0.0078, 0.0039, 0.0078, 0.0234, 0.0078, 0.0156, 0.0117, 0.0039, 0.0234, 0.0039, 0.0117, 0.0078, 0.0156, 0.0156, 0.0078, 0.0, 0.0039, 0.0117, 0.0039, 0.0, 0.0039, 0.0234, 0.0156, 0.0078, 0.0078, 0.0, 0.0078, 0.0039, 0.0, 0.0039, 0.0039, 0.0078, 0.0039, 0.0234, 0.0234, 0.0273, 0.0117, 0.0039, 0.0117, 0.0273, 0.0078, 0.0039, 0.0117, 0.0195, 0.0039, 0.0195, 0.0156, 0.0039, 0.0234, 0.0156, 0.0, 0.0039, 0.0078, 0.0, 0.0039, 0.0117, 0.0156, 0.0078, 0.0078, 0.0078, 0.0195, 0.0117, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0039, 0.0234, 0.0859, 0.1133, 0.168, 0.125, 0.125, 0.168, 0.2109, 0.2148, 0.2031, 0.1641, 0.1367, 0.1914, 0.1562, 0.1602, 0.1367, 0.1211, 0.082, 0.043, 0.0352, 0.0078, 0.0117, 0.0234, 0.0039, 0.0117, 0.0078, 0.0234, 0.0039, 0.0156, 0.0352, 0.0195, 0.0078, 0.0117, 0.0039, 0.0117, 0.0078, 0.0, 0.0039, 0.0039, 0.0, 0.0, 0.0117, 0.0039, 0.0078, 0.0234, 0.0039, 0.0195, 0.0078, 0.0117, 0.0156, 0.0195, 0.0117, 0.0078, 0.0117, 0.0039, 0.0117, 0.0039, 0.0, 0.0234, 0.0039, 0.0117, 0.0156, 0.0039, 0.0156, 0.0117, 0.0, 0.0039, 0.0156, 0.0, 0.0039, 0.0117, 0.0078, 0.0078, 0.0118, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0195, 0.2109, 0.2812, 0.2852, 0.1875, 0.2266, 0.1992, 0.2109, 0.2422, 0.2188, 0.2461, 0.2539, 0.2227, 0.2461, 0.2188, 0.2617, 0.1758, 0.1719, 0.1719, 0.1641, 0.0977, 0.1133, 0.1133, 0.1406, 0.1484, 0.1953, 0.1914, 0.1875, 0.1523, 0.1367, 0.0859, 0.0391, 0.0195, 0.0234, 0.0156, 0.0039, 0.0039, 0.0039, 0.0, 0.0078, 0.0039, 0.0039, 0.0, 0.0039, 0.0039, 0.0078, 0.0078, 0.0039, 0.0039, 0.0039, 0.0078, 0.0, 0.0039, 0.0039, 0.0039, 0.0039, 0.0039, 0.0039, 0.0117, 0.0039, 0.0039, 0.0, 0.0078, 0.0, 0.0078, 0.0, 0.0039, 0.0039, 0.0039, 0.0, 0.0078, 0.0, 0.0, 0.0039, 0.0, 0.0039, 0.0078, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0078, 0.043, 0.1055, 0.1797, 0.1016, 0.0625, 0.1328, 0.1523, 0.1797, 0.1719, 0.2188, 0.2227, 0.1719, 0.1445, 0.1172, 0.0938, 0.0391, 0.0234, 0.0312, 0.0039, 0.0195, 0.0078, 0.0117, 0.0469, 0.0195, 0.043, 0.0859, 0.0625, 0.0664, 0.0781, 0.0703, 0.043, 0.0273, 0.0078, 0.0117, 0.0039, 0.0039, 0.0117, 0.0039, 0.0, 0.0078, 0.0234, 0.0117, 0.0039, 0.0234, 0.0, 0.0234, 0.0156, 0.0039, 0.0, 0.0117, 0.0, 0.0, 0.0273, 0.0117, 0.0156, 0.0078, 0.0117, 0.0195, 0.0117, 0.0, 0.0117, 0.0039, 0.0273, 0.0156, 0.0117, 0.0117, 0.0039, 0.0, 0.0078, 0.0117, 0.0, 0.0, 0.0156, 0.0117, 0.0195, 0.0195, 0.0039, 0.0156, 0.1042]"
batch_test_acc-mean,random_better-accuracy_score,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4219, 0.4375, 0.4023, 0.3984, 0.4453, 0.4023, 0.457, 0.4141, 0.4297, 0.4141, 0.4062, 0.4453, 0.4258, 0.4102, 0.4512, 0.3828, 0.4062, 0.4062, 0.3984, 0.418, 0.4141, 0.3906, 0.3984, 0.3945, 0.3711, 0.3633, 0.3906, 0.3633, 0.3828, 0.3633, 0.3485, 0.5078, 0.5039, 0.5117, 0.5195, 0.5234, 0.5156, 0.5, 0.5234, 0.5117, 0.5312, 0.5195, 0.4883, 0.5117, 0.5352, 0.5117, 0.5159]"
batch_test_acc-std,random_better-accuracy_score,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4219, 0.4375, 0.4023, 0.3906, 0.4297, 0.4023, 0.4336, 0.4141, 0.4297, 0.4062, 0.3906, 0.4375, 0.418, 0.4102, 0.4512, 0.3047, 0.3125, 0.2969, 0.3359, 0.332, 0.3047, 0.2891, 0.3047, 0.3008, 0.3242, 0.3008, 0.3125, 0.3164, 0.3281, 0.2852, 0.3182, 0.4531, 0.4414, 0.4492, 0.4414, 0.4453, 0.4219, 0.4297, 0.4453, 0.4492, 0.4609, 0.4414, 0.4336, 0.457, 0.4102, 0.4727, 0.4683]"
batch_train_acc-mean,random_better-accuracy_score,"[0.957, 0.9805, 0.9688, 0.9766, 0.9805, 0.9805, 0.9805, 0.9961, 0.9922, 0.9883, 1.0, 0.9961, 0.9922, 0.9961, 0.9961, 1.0, 0.9922, 0.9922, 0.9844, 0.9922, 0.9844, 0.9922, 0.9961, 0.9961, 0.9961, 0.9961, 0.9961, 1.0, 0.9922, 1.0, 1.0, 0.9922, 0.9922, 0.9922, 1.0, 0.9961, 1.0, 1.0, 0.9961, 1.0, 0.9961, 1.0, 1.0, 1.0, 0.9922, 1.0, 1.0, 0.9922, 1.0, 1.0, 0.9883, 1.0, 1.0, 1.0, 0.9961, 1.0, 1.0, 0.9961, 1.0, 0.9961, 0.9961, 0.9961, 0.9961, 1.0, 0.9922, 1.0, 1.0, 1.0, 0.9961, 0.9961, 0.9883, 1.0, 1.0, 1.0, 0.9961, 1.0, 1.0, 0.9961, 0.9961, 0.9961, 1.0, 1.0, 1.0, 1.0, 0.9922, 1.0, 1.0, 1.0, 1.0, 0.9961, 1.0, 0.9961, 1.0, 1.0, 0.9922, 1.0, 1.0, 0.9961, 0.9959, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0703, 0.2227, 0.4141, 0.5625, 0.2148, 0.6328, 0.6914, 0.7344, 0.832, 0.875, 0.9609, 0.9492, 0.9062, 0.8945, 0.9102, 0.8906, 0.9219, 0.9258, 0.9258, 0.9297, 0.9492, 0.9258, 0.918, 0.9297, 0.9531, 0.9531, 0.9492, 0.9258, 0.9648, 0.9297, 0.9492, 0.9375, 0.957, 0.9375, 0.4727, 0.9688, 0.9375, 0.9414, 0.9727, 0.9648, 0.9492, 0.9727, 0.9492, 0.9609, 0.9648, 0.9531, 0.9727, 0.9688, 0.9648, 0.9492, 0.9805, 0.9609, 0.9688, 0.9727, 0.9531, 0.9688, 0.9727, 0.9688, 0.9414, 0.957, 0.9727, 0.9805, 0.9648, 0.957, 0.9844, 0.9648, 0.9531, 0.9492, 0.9648, 0.9648, 0.9648, 0.9609, 0.9609, 0.9648, 0.9766, 0.9492, 0.9531, 0.9688, 0.9609, 0.9688, 0.9688, 0.9688, 0.9844, 0.9648, 0.9609, 0.9531, 0.9825, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0039, 0.2422, 0.4297, 0.5039, 0.5664, 0.5117, 0.5586, 0.5156, 0.4727, 0.5703, 0.5742, 0.5859, 0.6094, 0.7383, 0.8398, 0.8828, 0.9297, 0.957, 0.9414, 0.9258, 0.9023, 0.9414, 0.9336, 0.9648, 0.9414, 0.957, 0.9609, 0.957, 0.9453, 0.9609, 0.9648, 0.9219, 0.9727, 0.9805, 0.9648, 0.957, 0.9844, 0.9648, 0.9727, 0.9727, 0.9531, 0.9688, 0.9727, 0.9727, 0.9648, 0.9727, 0.9883, 0.9766, 0.9688, 0.9766, 0.9727, 0.9375, 0.9727, 0.9766, 0.9961, 0.9961, 0.9883, 0.9727, 0.9883, 0.9531, 0.9844, 0.9883, 0.9922, 0.9766, 0.7617, 0.8281, 0.8945, 0.875, 0.9727, 0.6367, 0.6992, 0.6992, 0.8359, 0.8867, 0.8828, 0.8867, 0.9219, 0.9492, 0.9134, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0039, 0.0234, 0.0742, 0.1055, 0.2344, 0.2266, 0.0977, 0.3984, 0.2969, 0.3633, 0.4375, 0.3945, 0.4336, 0.4492, 0.4492, 0.4414, 0.4609, 0.4766, 0.4766, 0.4883, 0.5, 0.5156, 0.5781, 0.6367, 0.6562, 0.6758, 0.7617, 0.7227, 0.7227, 0.8047, 0.9531, 0.7891, 0.7734, 0.8203, 0.7422, 0.6992, 0.7539, 0.7656, 0.7578, 0.7617, 0.7031, 0.7578, 0.7695, 0.7305, 0.7461, 0.7695, 0.6875, 0.7656, 0.7812, 0.8398, 0.8008, 0.9648, 0.9922, 0.9883, 0.9805, 0.957, 0.9531, 0.9648, 0.9805, 0.9688, 0.9805, 0.9922, 0.9961, 0.9883, 0.9961, 0.9883, 0.9922, 0.9922, 0.9844, 0.9922, 0.9844, 0.9922, 0.9922, 0.9844, 0.9844, 0.9922, 0.9922, 0.9922, 0.9961, 1.0, 0.9883, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2695, 0.4922, 0.5781, 0.6133, 0.6523, 0.7109, 0.7461, 0.8125, 0.8047, 0.8203, 0.875, 0.8711, 0.8516, 0.8789, 0.8438, 0.8594, 0.8438, 0.8086, 0.8828, 0.8633, 0.9102, 0.9258, 0.9609, 0.9453, 0.9531, 0.9219, 0.9102, 0.9453, 0.9336, 0.957, 0.9375, 0.9531, 0.9609, 0.9219, 0.9375, 0.9766, 0.9414, 0.9375, 0.9688, 0.957, 0.957, 0.9336, 0.9609, 0.9414, 0.9453, 0.9492, 0.9297, 0.9609, 0.9805, 0.9609, 0.957, 0.9609, 0.957, 0.957, 0.9648, 0.9766, 0.9531, 0.9609, 0.9766, 0.9531, 0.9492, 0.957, 0.9727, 0.9648, 0.9766, 0.9492, 0.9414, 0.9688, 0.9375, 0.6094, 0.6914, 0.6875, 0.707, 0.7617, 0.7266, 0.75, 0.6914, 0.7578, 0.7188, 0.6836, 0.7422, 0.75, 0.6042]"
batch_train_acc-std,random_better-accuracy_score,"[0.0195, 0.0117, 0.0156, 0.0234, 0.0117, 0.0195, 0.0039, 0.0039, 0.0078, 0.0039, 0.0, 0.0039, 0.0, 0.0039, 0.0039, 0.0, 0.0, 0.0078, 0.0, 0.0, 0.0156, 0.0078, 0.0039, 0.0039, 0.0039, 0.0039, 0.0039, 0.0, 0.0078, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0039, 0.0, 0.0, 0.0039, 0.0, 0.0039, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0039, 0.0, 0.0, 0.0, 0.0039, 0.0, 0.0, 0.0039, 0.0, 0.0039, 0.0039, 0.0039, 0.0039, 0.0, 0.0078, 0.0, 0.0, 0.0, 0.0039, 0.0039, 0.0039, 0.0, 0.0, 0.0, 0.0039, 0.0, 0.0, 0.0039, 0.0039, 0.0039, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0039, 0.0, 0.0039, 0.0, 0.0, 0.0078, 0.0, 0.0, 0.0039, 0.0041, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0117, 0.0, 0.0625, 0.207, 0.2031, 0.1992, 0.1406, 0.043, 0.0312, 0.0312, 0.0039, 0.0, 0.0195, 0.0039, 0.0, 0.0234, 0.0039, 0.0195, 0.0, 0.0117, 0.0039, 0.0039, 0.0234, 0.0078, 0.0078, 0.0117, 0.0195, 0.0039, 0.0078, 0.0039, 0.0078, 0.0352, 0.0234, 0.4727, 0.0078, 0.0156, 0.0195, 0.0039, 0.0039, 0.0039, 0.0039, 0.0039, 0.0, 0.0039, 0.0312, 0.0195, 0.0078, 0.0039, 0.0039, 0.0117, 0.0078, 0.0078, 0.0039, 0.0078, 0.0, 0.0039, 0.0234, 0.0273, 0.0273, 0.0117, 0.0039, 0.0117, 0.0273, 0.0, 0.0117, 0.0156, 0.0195, 0.0039, 0.0195, 0.0117, 0.0, 0.0234, 0.0195, 0.0078, 0.0039, 0.0078, 0.0, 0.0078, 0.0156, 0.0156, 0.0078, 0.0078, 0.0117, 0.0234, 0.0156, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0039, 0.0, 0.0156, 0.0039, 0.0117, 0.0273, 0.0195, 0.0391, 0.0195, 0.0078, 0.0039, 0.0781, 0.0156, 0.0117, 0.0117, 0.0078, 0.0156, 0.0117, 0.0195, 0.0117, 0.0352, 0.0039, 0.0195, 0.0039, 0.0039, 0.0195, 0.0234, 0.0039, 0.0156, 0.0078, 0.0039, 0.0234, 0.0039, 0.0117, 0.0117, 0.0039, 0.0, 0.0039, 0.0195, 0.0117, 0.0078, 0.0078, 0.0273, 0.0039, 0.0039, 0.0039, 0.0117, 0.0, 0.0078, 0.0078, 0.0039, 0.0234, 0.0117, 0.0, 0.0039, 0.0039, 0.0039, 0.0039, 0.0039, 0.0078, 0.0078, 0.0039, 0.0078, 0.0078, 0.2383, 0.1562, 0.0664, 0.0938, 0.0039, 0.2852, 0.1914, 0.2305, 0.0625, 0.0664, 0.0234, 0.0586, 0.0312, 0.0117, 0.0394, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0039, 0.0234, 0.0742, 0.1055, 0.2344, 0.2266, 0.0664, 0.0938, 0.2969, 0.3633, 0.4375, 0.3945, 0.4336, 0.4492, 0.4492, 0.4414, 0.4609, 0.4766, 0.4766, 0.4883, 0.4766, 0.4688, 0.3984, 0.3555, 0.3438, 0.3164, 0.2227, 0.2695, 0.2617, 0.1953, 0.0312, 0.1953, 0.2109, 0.1797, 0.2344, 0.3008, 0.2305, 0.2266, 0.2422, 0.2305, 0.2969, 0.2422, 0.2305, 0.2617, 0.2539, 0.2305, 0.3125, 0.2344, 0.2109, 0.1602, 0.1836, 0.0352, 0.0, 0.0039, 0.0039, 0.0352, 0.0469, 0.0273, 0.0195, 0.0234, 0.0117, 0.0078, 0.0039, 0.0117, 0.0039, 0.0117, 0.0078, 0.0, 0.0078, 0.0078, 0.0078, 0.0078, 0.0078, 0.0078, 0.0078, 0.0, 0.0078, 0.0, 0.0039, 0.0, 0.0117, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0195, 0.0, 0.0156, 0.0117, 0.0039, 0.0469, 0.0977, 0.0625, 0.0703, 0.125, 0.0625, 0.0273, 0.0625, 0.0664, 0.0703, 0.0547, 0.0859, 0.0898, 0.0938, 0.0664, 0.0508, 0.0273, 0.0156, 0.0234, 0.0078, 0.0391, 0.0039, 0.0234, 0.0195, 0.0273, 0.0078, 0.0234, 0.0156, 0.0234, 0.0078, 0.0078, 0.0039, 0.0078, 0.0078, 0.0195, 0.0117, 0.0039, 0.0078, 0.0039, 0.0312, 0.0352, 0.0078, 0.0, 0.0039, 0.0078, 0.0195, 0.0156, 0.0117, 0.0039, 0.0117, 0.0156, 0.0078, 0.0, 0.0, 0.0, 0.0195, 0.0195, 0.0039, 0.0117, 0.0078, 0.0195, 0.0352, 0.0078, 0.0156, 0.3516, 0.2852, 0.2812, 0.2539, 0.168, 0.25, 0.2344, 0.3008, 0.2344, 0.25, 0.293, 0.2109, 0.2422, 0.2292]"
batch_test_acc-mean,random_better-balanced_accuracy_score,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0078, 0.0039, 0.0078, 0.0117, 0.0195, 0.0078, 0.0, 0.0156, 0.0195, 0.0117, 0.0117, 0.0039, 0.0039, 0.0039, 0.0078, 0.0082, 0.2695, 0.2891, 0.2422, 0.2617, 0.2773, 0.2539, 0.293, 0.2422, 0.2227, 0.2656, 0.2461, 0.2812, 0.2852, 0.2695, 0.2317, 0.7852, 0.7539, 0.8047, 0.7734, 0.8125, 0.8047, 0.7969, 0.8125, 0.8164, 0.7617, 0.7617, 0.7969, 0.7852, 0.7852, 0.7969, 0.75, 0.4531, 0.4258, 0.457, 0.4062, 0.4023, 0.4414, 0.4336, 0.4219, 0.4531, 0.4453, 0.457, 0.4336, 0.4414, 0.4766, 0.4375, 0.4365]"
batch_test_acc-std,random_better-balanced_accuracy_score,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0078, 0.0039, 0.0078, 0.0117, 0.0195, 0.0078, 0.0, 0.0156, 0.0195, 0.0117, 0.0117, 0.0039, 0.0039, 0.0039, 0.0078, 0.0082, 0.2695, 0.2891, 0.2422, 0.2617, 0.2773, 0.2383, 0.2852, 0.2422, 0.2148, 0.2656, 0.2461, 0.2734, 0.2852, 0.2695, 0.2317, 0.1289, 0.1367, 0.1406, 0.1562, 0.1328, 0.1484, 0.1562, 0.125, 0.1211, 0.1758, 0.1602, 0.1094, 0.1445, 0.1602, 0.1406, 0.1439, 0.4141, 0.3789, 0.3789, 0.375, 0.3945, 0.4023, 0.3789, 0.375, 0.3828, 0.4141, 0.3633, 0.4023, 0.4102, 0.3828, 0.4062, 0.4365]"
