,name,mean,std
0,random_better-balanced_accuracy_score-num_gurus-2,0.6753362341772153,0.018841151680701038
1,max_diversity-accuracy_score-num_gurus-2,0.6742602848101267,0.025654080886619947
2,max_diversity-balanced_accuracy_score-num_gurus-2,0.6690427215189874,0.01749052307658035
3,random_better-f1_score-num_gurus-3,0.6657911392405064,0.016666280898368913
4,random_better-balanced_accuracy_score-num_gurus-3,0.6644541139240507,0.005944154543032446
5,random_better-accuracy_score-num_gurus-3,0.6626621835443037,0.007015875241749039
6,probabilistic_weighted-balanced_accuracy_score-num_gurus-3,0.6607159810126582,0.005516379686041422
7,probabilistic_weighted-accuracy_score-num_gurus-3,0.6599446202531645,0.006870685617318463
8,probabilistic_better-balanced_accuracy_score-num_gurus-3,0.6584335443037974,0.006756783031027176
9,probabilistic_better-f1_score-num_gurus-3,0.6575553797468354,0.006234872435212119
10,probabilistic_better-accuracy_score-num_gurus-3,0.6565664556962025,0.005581289693636014
11,max_diversity-f1_score-num_gurus-2,0.6543275316455697,0.035888820675486786
12,random_better-f1_score-num_gurus-2,0.6540308544303798,0.01833748894180974
13,probabilistic_weighted-f1_score-num_gurus-3,0.6537935126582279,0.0036316307340057206
14,max_diversity-accuracy_score-num_gurus-3,0.6526226265822785,0.016673091035532
15,random_better-accuracy_score-num_gurus-2,0.6376147151898734,0.006845005105670196
16,probabilistic_better-accuracy_score-num_gurus-4,0.629054588607595,0.007981395200330258
17,random_better-accuracy_score-num_gurus-4,0.6246835443037975,0.0058247005353330794
18,max_diversity-f1_score-num_gurus-1,0.6227650316455696,0.0253170892177458
19,max_diversity-f1_score-num_gurus-3,0.6224090189873418,0.027148444772161582
20,max_diversity-balanced_accuracy_score-num_gurus-3,0.6217167721518988,0.04132157439419505
21,probabilistic_weighted-accuracy_score-num_gurus-4,0.6188093354430378,0.016883553671066195
22,probabilistic_weighted-balanced_accuracy_score-num_gurus-2,0.6181685126582279,0.00860851291468085
23,max_diversity-accuracy_score-num_gurus-1,0.6150949367088607,0.021565831714553875
24,probabilistic_weighted-f1_score-num_gurus-4,0.6148378164556962,0.009849774095969318
25,probabilistic_better-f1_score-num_gurus-4,0.6143354430379746,0.014371025249371524
26,probabilistic_better-balanced_accuracy_score-num_gurus-2,0.6143196202531647,0.005379615946844089
27,max_diversity-balanced_accuracy_score-num_gurus-1,0.6125276898734178,0.02067562071160639
28,probabilistic_better-f1_score-num_gurus-2,0.6108425632911392,0.010629960398497526
29,probabilistic_weighted-accuracy_score-num_gurus-2,0.6104786392405064,0.0070565606792553455
30,random_better-f1_score-num_gurus-4,0.6091653481012658,0.015096900953258108
31,random_better-balanced_accuracy_score-num_gurus-4,0.6038884493670886,0.03499761523481075
32,probabilistic_weighted-balanced_accuracy_score-num_gurus-4,0.6037618670886076,0.01970855677574245
33,probabilistic_better-accuracy_score-num_gurus-2,0.6030300632911393,0.004116232160455301
34,probabilistic_better-balanced_accuracy_score-num_gurus-4,0.6023931962025316,0.016252848082780894
35,probabilistic_weighted-f1_score-num_gurus-2,0.5991099683544304,0.0050610501122458195
36,random_better-f1_score-num_gurus-1,0.5982001582278482,0.030140751619988443
37,random_better-accuracy_score-num_gurus-1,0.5879628164556963,0.022527273462216505
38,random_better-balanced_accuracy_score-num_gurus-1,0.5817879746835443,0.028702882727815272
39,max_diversity-accuracy_score-num_gurus-4,0.5784374999999999,0.026323630292133506
40,max_diversity-f1_score-num_gurus-4,0.5768354430379746,0.03461993677973129
41,max_diversity-balanced_accuracy_score-num_gurus-4,0.5739438291139242,0.020891838633709452
42,LwF,0.5705973101265822,0.005028242271140658
43,probabilistic_better-balanced_accuracy_score-num_gurus-1,0.49362341772151896,0.003792305958339024
44,probabilistic_weighted-balanced_accuracy_score-num_gurus-1,0.49271756329113925,0.0036372277042462597
45,probabilistic_better-accuracy_score-num_gurus-1,0.49212025316455693,0.004008012430825251
46,probabilistic_weighted-accuracy_score-num_gurus-1,0.4918275316455696,0.0020805382695030777
47,probabilistic_better-f1_score-num_gurus-1,0.4912974683544304,0.0031905822640804432
48,probabilistic_weighted-f1_score-num_gurus-1,0.4907357594936709,0.00487358146917898
49,SynapticIntelligence,0.4521321202531645,0.01221534359121486
50,EWC,0.4452175632911392,0.008447976183933658
51,full-ensemble,0.42552215189873416,0.007449633597611608
52,single_Net,0.40905063291139243,0.00740296258610524
