,name,mean,std
0,probabilistic_better-accuracy_score-num_gurus-5,0.4228041407139972,0.037718030156778784
1,max_diversity-accuracy_score-num_gurus-7,0.42277197847142817,0.03594998256294232
2,probabilistic_weighted-accuracy_score-num_gurus-3,0.419583638831973,0.05561530975950767
3,probabilistic_weighted-accuracy_score-num_gurus-7,0.4162501580500975,0.057651547478328326
4,probabilistic_weighted-accuracy_score-num_gurus-5,0.4040356679074466,0.035598274364154456
5,probabilistic_better-accuracy_score-num_gurus-7,0.3975731382705271,0.062486308168463435
6,max_diversity-accuracy_score-num_gurus-9,0.39332127332687383,0.05565443314046312
7,probabilistic_better-accuracy_score-num_gurus-3,0.3922257246170193,0.09397938195634677
8,max_diversity-accuracy_score-num_gurus-3,0.3918270206497982,0.10431276020292385
9,max_diversity-accuracy_score-num_gurus-5,0.3881207723310217,0.050010919623227824
10,random_better-accuracy_score-num_gurus-5,0.3714871162036434,0.042799253500295335
11,random_better-accuracy_score-num_gurus-7,0.3662277431599795,0.0650128439942452
12,random_better-accuracy_score-num_gurus-3,0.35278454334940756,0.11048439430274037
13,probabilistic_better-accuracy_score-num_gurus-9,0.3437407615035772,0.08935141131511759
14,random_better-accuracy_score-num_gurus-9,0.33299187681172043,0.06404091827114508
15,probabilistic_weighted-accuracy_score-num_gurus-9,0.31524746570736173,0.06441827983450475
16,max_diversity-accuracy_score-num_gurus-11,0.29945008151233193,0.01620907318053578
17,max_diversity-accuracy_score-num_gurus-1,0.2898648186773062,0.06688731835492506
18,random_better-accuracy_score-num_gurus-1,0.2778916812688112,0.04339312731568021
19,random_better-accuracy_score-num_gurus-11,0.2713698931410909,0.02283381428266028
20,probabilistic_weighted-accuracy_score-num_gurus-1,0.27056086786091327,0.034178552108099704
21,probabilistic_weighted-accuracy_score-num_gurus-11,0.2660542366281152,0.025354534913772722
22,probabilistic_better-accuracy_score-num_gurus-11,0.25891422618180515,0.019138474538077245
23,probabilistic_better-accuracy_score-num_gurus-1,0.24040865967050196,0.04239025706162321
24,EWC,0.1945489211309524,0.00023349989768426792
25,SynapticIntelligence,0.19443235367063494,0.0005479721499995745
26,LwF,0.19372984871031748,0.0007177431370322551
27,single_Net,0.19368706598877908,0.001406945252407184
28,full-ensemble,0.19157521083950996,0.0009744525664857799
