,name,mean,std
0,StudentExpert-num_train_gurus-2-num_test_gurus-3,0.8835007911392404,0.051840595390155224
1,StudentExpert-num_train_gurus-3-num_test_gurus-3,0.8443433544303798,0.05826639934637818
2,StudentExpert-num_train_gurus-2-num_test_gurus-1,0.8398358386075948,0.056683016504811855
3,StudentExpert-num_train_gurus-2-num_test_gurus-2,0.8308267405063292,0.048403928911619126
4,StudentExpert-num_train_gurus-2-num_test_gurus-4,0.8244837816455697,0.03943041610723847
5,StudentExpert-num_train_gurus-3-num_test_gurus-2,0.8146518987341771,0.04810702075625032
6,StudentExpert-num_train_gurus-1-num_test_gurus-1,0.8032674050632911,0.01577256121353212
7,StudentExpert-num_train_gurus-1-num_test_gurus-2,0.8029291930379745,0.01773127629727758
8,StudentExpert-num_train_gurus-3-num_test_gurus-1,0.792685917721519,0.010137226160547633
9,StudentExpert-num_train_gurus-3-num_test_gurus-4,0.7919541139240506,0.022444821732028046
10,StudentExpert-num_train_gurus-1-num_test_gurus-3,0.7899090189873419,0.03618605375210257
11,StudentExpert-num_train_gurus-1-num_test_gurus-4,0.7778223892405063,0.019750373718959994
12,StudentExpert-num_train_gurus-4-num_test_gurus-2,0.7748397943037975,0.008803559200907288
13,StudentExpert-num_train_gurus-4-num_test_gurus-1,0.7685106803797469,0.01849168337445352
14,StudentExpert-num_train_gurus-4-num_test_gurus-3,0.7663943829113924,0.007974277614006148
15,StudentExpert-num_train_gurus-4-num_test_gurus-4,0.7496380537974685,0.0166121510742113
16,max_diversity-accuracy_score-num_gurus-2,0.6706507120253165,0.030588980104275305
17,max_diversity-balanced_accuracy_score-num_gurus-2,0.6645846518987342,0.018939558231702687
18,max_diversity-f1_score-num_gurus-2,0.6643987341772152,0.02770729560405987
19,probabilistic_better-f1_score-num_gurus-3,0.6637618670886076,0.006344817099712301
20,probabilistic_weighted-balanced_accuracy_score-num_gurus-3,0.6621360759493671,0.007634627917426624
21,random_better-f1_score-num_gurus-3,0.6617385284810127,0.011103693671710936
22,probabilistic_better-accuracy_score-num_gurus-3,0.6611016613924051,0.00960759966797311
23,random_better-accuracy_score-num_gurus-3,0.6601344936708861,0.00864579009827615
24,probabilistic_weighted-accuracy_score-num_gurus-3,0.6597923259493671,0.004180390994802033
25,random_better-balanced_accuracy_score-num_gurus-3,0.6591079905063292,0.014876405891965584
26,probabilistic_better-balanced_accuracy_score-num_gurus-3,0.6589774525316455,0.012063564886759175
27,probabilistic_weighted-f1_score-num_gurus-3,0.6561352848101266,0.005640750660855864
28,random_better-f1_score-num_gurus-2,0.6500771360759494,0.021693429735825137
29,random_better-accuracy_score-num_gurus-2,0.6496420094936709,0.027103615861834022
30,max_diversity-balanced_accuracy_score-num_gurus-3,0.6412816455696203,0.032750505581010024
31,random_better-balanced_accuracy_score-num_gurus-2,0.6403678797468355,0.03056712890249673
32,max_diversity-f1_score-num_gurus-3,0.6376977848101266,0.020155935494274007
33,max_diversity-accuracy_score-num_gurus-3,0.6360640822784809,0.016110111736366943
34,probabilistic_weighted-accuracy_score-num_gurus-4,0.620164161392405,0.010437264845858604
35,probabilistic_weighted-balanced_accuracy_score-num_gurus-4,0.6194046677215189,0.010100688229083181
36,max_diversity-balanced_accuracy_score-num_gurus-1,0.6193908227848101,0.028465002972205337
37,max_diversity-f1_score-num_gurus-1,0.6177037183544305,0.02156920471897446
38,max_diversity-accuracy_score-num_gurus-1,0.6172587025316456,0.03250008545948791
39,probabilistic_better-accuracy_score-num_gurus-4,0.6169382911392405,0.020613239185819712
40,probabilistic_better-balanced_accuracy_score-num_gurus-4,0.6151285601265822,0.01646535308879274
41,probabilistic_weighted-balanced_accuracy_score-num_gurus-2,0.613534414556962,0.005991672354560164
42,random_better-f1_score-num_gurus-4,0.6132476265822785,0.018127984655964085
43,probabilistic_better-balanced_accuracy_score-num_gurus-2,0.612723496835443,0.005889479376328348
44,random_better-balanced_accuracy_score-num_gurus-4,0.6110205696202532,0.012141190329566986
45,probabilistic_weighted-f1_score-num_gurus-4,0.6109651898734176,0.023820832051737354
46,probabilistic_better-f1_score-num_gurus-4,0.6102432753164557,0.010885999228426391
47,probabilistic_weighted-accuracy_score-num_gurus-2,0.6100494462025317,0.00990690451712797
48,max_diversity-balanced_accuracy_score-num_gurus-4,0.6099505537974684,0.015576892900040572
49,probabilistic_weighted-f1_score-num_gurus-2,0.6087678006329115,0.012020178971332077
50,probabilistic_better-accuracy_score-num_gurus-2,0.6083504746835444,0.0069258400468759865
51,probabilistic_better-f1_score-num_gurus-2,0.6077887658227847,0.009437058426666521
52,max_diversity-f1_score-num_gurus-4,0.6046934335443038,0.020894834051049076
53,random_better-accuracy_score-num_gurus-4,0.5977175632911391,0.01900755492199149
54,random_better-accuracy_score-num_gurus-1,0.5937440664556962,0.02793682830041649
55,max_diversity-accuracy_score-num_gurus-4,0.5883583860759494,0.027992195946259863
56,random_better-balanced_accuracy_score-num_gurus-1,0.587060917721519,0.03013417302827641
57,LwF,0.5733465189873418,0.01253313885585711
58,random_better-f1_score-num_gurus-1,0.5729964398734178,0.027086349279446007
59,probabilistic_better-f1_score-num_gurus-1,0.49503560126582274,0.0040337725924637765
60,probabilistic_better-balanced_accuracy_score-num_gurus-1,0.4936649525316456,0.006983551985117863
61,probabilistic_better-accuracy_score-num_gurus-1,0.49311511075949366,0.005263963484381654
62,probabilistic_weighted-f1_score-num_gurus-1,0.49290150316455694,0.008087940362877416
63,probabilistic_weighted-balanced_accuracy_score-num_gurus-1,0.4927571202531646,0.00700774665166434
